ParlaMint-GB_2018-11-23-lords.u1	That the order of commitment be discharged.
ParlaMint-GB_2018-11-23-lords.u2	My Lords, I understand that no amendments have been set down to this Bill and that no noble Lord has indicated a wish to move a manuscript amendment or to speak in Committee. Unless, therefore, any noble Lord objects, I beg to move that the order of commitment be discharged.
ParlaMint-GB_2018-11-23-lords.u3	That the Bill be now read a second time.
ParlaMint-GB_2018-11-23-lords.u4	My Lords, I should first like to declare an interest regarding my forthcoming appointment to be a member of the General Medical Council.
ParlaMint-GB_2018-11-23-lords.u5	Oh!
ParlaMint-GB_2018-11-23-lords.u6	It is a good start, my Lords—just have to keep going Every year, NHS Blood and Transplant holds a number of very moving ceremonies with donor families. These occasions are wonderful celebrations of the gift of a loved one’s organ, to give life to others. Last year in England, there were over 1,300 deceased organ donors and over 3,300 transplants. That is a wonderful achievement but we could do so much more. My Bill aims to increase the number of organ donations while maintaining strong family involvement in the decision which, I stress, will remain a remarkably altruistic act of giving. Nothing in this Bill will change the concept of giving It is thanks to the tireless work of a number of people to promote the Bill, especially my honourable friends Geoffrey Robinson and Dan Jarvis, who secured unprecedented cross-party support, that we are today a step closer to putting it on to the statute book. I extend my thanks to the Prime Minister and my right honourable friend the leader of the Opposition, and to other leaders of the political parties in Westminster, for their continuous support for the Bill, and to the Daily Mirror, for its unflagging and enthusiastic support. I also pay tribute to the noble Baroness, Lady Randerson, who took forward subsequent legislation in Wales to allow organs and tissues under deemed consent to be used in transplants in the rest of the UK countries. I am hoping that she may inform the House of the latest progress in Wales regarding the legislative changes that occurred there The Bill is often referred to as Max’s and Keira’s Bill, in honour of a recipient, 10 year-old Max Johnson, who recently received a “Pride of Britain” award from the Prime Minister for his immense bravery while waiting for a heart transplant, and the donor, Keira Ball, who tragically died in a road accident. I pay tribute to both of them There is currently a record 20 million people in England recorded on the organ donor register, but 400 people died last year while waiting for transplants, and a further 755 people were removed from the transplant list as they were just too ill to receive treatment and a transplant. This is partly down to the fact that only 1% of people die in circumstances where their organs are suitable for donation. It is also partly because members of the family are often not aware of their loved one’s wishes, and sometimes find it safer to say no. Our ambition is to achieve an 80% consent rate in England. This will not happen overnight; the experience in Wales is clear in that respect. However, if we reach that target and 80% of families allow donation to go ahead, there will be 280 donors a year, which could lead to as many as 700 more transplants a year. The Bill, if enacted, will be a significant step forward. Starting from the basis of presumed consent, the family would still be fully involved in the decision. The aim essentially is to spark in England the positive culture change that many nations in Europe have experienced, following their change to an opt-out position. It will mean more people being inspired to have that incredibly important conversation with their loved ones, knowing that the life of a person waiting for a transplant could be saved In countries where deemed consent systems are in place, there are generally higher numbers of organ donations when supplemented with wider measures. I will return to that later. It is particularly pleasing to note that Wales has now reached a consent rate of 70%, and the first few months of 2018 showed that rising to 73% I would like to give a summary of the Bill, which consists of three clauses. First, however, I would like to clarify a few things about its scope. The proposed consent system only covers deceased donations—it does not apply to living donations or donations for research purposes. The Bill would make changes to the Human Tissue Act 2004, which covers England, Wales and Northern Ireland, but it would make the changes to consent in England only. The system of deemed consent in England will be consistent with the Welsh opt-out system. Transplants which currently take place under the current system—heart, lung, kidney, liver, pancreas, bowel and tissues such as corneas, skin, bones and tendons—will fall under the deemed consent provisions. Excluded from those provisions will be the less common organs and tissues, often called novel transplants. These will still require express consent Following consultation, regulations will be set out by the Secretary of State in an affirmative statutory instrument, which will specify which organs or tissues will be excluded from deemed consent. A Written Ministerial Statement will be part of the process every time the regulations are amended. It is important we have an approach consistent with Wales and Scotland on these issues to make sure that nurses and clinicians working across borders follow the same approach There are other important safeguards in the Bill. First, all children below 18 will be excluded from deemed consent, although they will still be able to register as now to donate their organs. People who are not ordinarily resident in England for at least 12 months immediately before their death will be exempt from the new arrangements. In practice, this means that people living in England in the short term will not be affected by changes in the consent system. The Bill also provides a safeguard for people who lack the capacity to understand the concept of deemed consent for a significant period before their death. The decision on whether a person lacks capacity will continue to be established in accordance with the Mental Capacity Act 2005 Very importantly, the Bill sets out the role of the deceased family and friends under the proposed arrangements. It makes it clear that they may provide information suggesting the deceased would not have consented, to prevent donation proceeding. This is very important. I reassure noble Lords that the family of the deceased will continue to be involved in discussions with specialist nurses about their loved one’s wishes and how best to support those wishes, also taking account of faith and cultural considerations. Clinicians will never proceed if the family object strongly. I know the Government have worked hard with different faiths to ensure that they are comfortable with how deemed consent will work. As Kidney Care UK put it, changes in the law on consent do not change the importance of people talking to their families about their wishes in respect of organ donation To support the smooth implementation of the provisions in the Bill, it places a duty on the Human Tissue Authority, the regulator, to update its code of practice and issue practical guidance for professionals. The new codes will be consolidated in a single code, to be consulted on and laid in Parliament. The Bill will also allow all organs removed in England for transplantation purposes to continue to be used across the UK, to save as many people in need as possible Clause 3 sets out that the Bill extends to England, Wales and Northern Ireland as it will be amending the Human Tissue Act 2004, which extends to those countries. It sets out that Clauses 1 and 2 will come into force on the day or days that the Secretary of State appoints in regulations made by statutory instrument, so in effect the Secretary of State will have to set out what the commencement date is for deemed consent in England. Clause 3 automatically comes into force on the day that the Act is passed I recognise that a change to the consent system is not a panacea. The Bill needs to be accompanied by an assurance that capacity in the NHS in terms of transplant teams, intensive beds and specialist nurses will be sufficient. I particularly mention the need for good-quality training and greater numbers of specialist nurses. They are remarkable people who have the extremely difficult role of initiating discussions about potential organ donations with families at such a sensitive time. The Spanish experience is that investment in specialist nurses is one of the major factors in their success and the transformation that has occurred in Spain It will be essential to have a strong communications strategy to ensure that the public are fully aware of the changes, and I look forward to the Minister’s response on that. I would also say—and I think this is the Welsh experience—that it is important to have follow-up campaigns because clearly, the cultural change we want to see will not happen overnight I end by saying that I am clear that the gift of giving will be as strong a part of organ donation as ever. I thought the Minister in the other place, Jackie Doyle-Price, put it well when the Bill went through its Commons stages: “The most important thing any of us can do if we want to increase organ donation is ensure that we all have those conversations with our families, so that they understand our wishes … One of the great virtues of the Bill and the surrounding campaigns is that we have encouraged people to have those conversations. It has been a real driver of cultural change in that sense”.—[Official Report, Commons, Organ Donation (Deemed Consent) Bill Committee, 12/09/18; cols. 11-12.] I think that puts it very well. I am confident that, if enacted, the Bill will play a significant role in changing the culture towards organ donation in England and help hundreds of lives in the years to come. I beg to move.
ParlaMint-GB_2018-11-23-lords.u7	My Lords, I am privileged to have the opportunity to speak following the noble Lord, Lord Hunt. I very much applaud the way in which he has brought the Bill forward and the way he presented it today. I thought he covered exactly the points that must be at the forefront of our minds in thinking about its implementation. It is my hope and expectation that the Bill will pass into law, and that it will have precisely the beneficial effects that its promoters have sought It might be helpful, at this early stage in the debate—I know we all share the objectives—to review the previous thinking about these issues, not least from the passage of the 2004 legislation that we are amending. The noble Lord, Lord Reid of Cardowan, was Secretary of State at the time of the 2004 Act. I was shadow Secretary of State in another place. My interest in these issues was not least as a constituency Member of Parliament, in that I represented both Addenbrooke’s Hospital, where clinicians led by Roy Calne did ground-breaking work in reducing the rejection of transplanted organ tissue, and Royal Papworth Hospital, which has the largest number of heart and lung transplants, and is where Terence English conducted the first UK heart transplant and John Wallwork and colleagues performed the first heart and lung transplant. So I was always closely concerned with and supportive of the transplant work they were doing In 2004, however, it was not concluded during the passage of the legislation that we should proceed on the basis of deemed consent. There were two parts to that. First, the evidence continued to be inconclusive that deemed consent itself was the principal issue in obtaining the necessary organs for transplantation. The noble Lord, Lord Hunt, referred to the Spanish experience, which was relevant and much debated at that time. We are going back some way, but those responsible for the system of consent in Spain took the view that an opt-out system was not the most important part of their experience in achieving the best transplant rates in Europe. A subsequent review was published in the journal Health Technology Assessment in 2009, so a little later. I was Secretary of State in 2010 and it was part of the thinking then. The conclusion of that systematic review across a number of countries said: “Presumed consent alone is unlikely to explain the variation in organ donation rates between different countries. A combination of legislation, availability of donors, transplantation system organisation and infrastructure, wealth and investment in health care, as well as underlying public attitudes … and awareness … may all play a role” I am simply reiterating what the noble Lord made clear in moving the Second Reading today. All of those things matter In 2004, the noble Lord, Lord Reid of Cardowan, said that he did not agree with the principle of deemed consent because, across the National Health Service and healthcare, we were setting out to ensure that consent was enshrined in our activity and that we should not proceed except on the basis of informed consent. To deem consent, arguably, is to abandon that principle. In this instance, we have to recognise that we are treading across an important ethical boundary, and understand why and how we are doing it. It is not that we should not do it, but that we understand the importance of recognising it As the noble Lord said, there is a provision in the Bill that says that, where families can demonstrate a reasonable basis for thinking that the deceased person would not have consented to transplantation, they should not proceed. The question also arises of a family who has no evidence of what the deceased person may have said, but objects themselves. We need to think carefully about that, not least because of what I remember from talking to nurses involved in transplanting at both Addenbrooke’s and Papworth, during the passage of the legislation in 2003. They said they did not quite understand what an opt-out system really meant. What is the difference between, on the one hand, asking the family of somebody who has died whether they would consent to donation; or, on the other hand, saying that, although consent is deemed to have been given, we are none the less going to ask whether you agree or object? They found it difficult to understand the difference In practice, we should recognise that there is a difference in terms of public attitude and awareness. I think that was demonstrated in Wales, and I look forward to hearing from the noble Baroness, Lady Randerson, about the Welsh experience. In the first year or so, it was not evident, because the numbers were small and the period of time relatively short, that there was a major shift. It may well be that more of a shift is taking place over time. But much of that may be less to do with the fact of deemed consent and more to do with public awareness and support for the process itself After our debate on the 2004 legislation, I would not want us to proceed in this debate thinking that the broader range of issues were then neglected. They were not. In 2008, the then Labour Government instituted the Organ Donation Taskforce, the objective of which was in the subsequent five years, I think, to increase donor rates by 50%. In practice, they went up by about 45% and have continued to increase. That is precisely because the things that we know are also important were happening. There was increased public awareness and there has been an increase in the number of people on the organ donor register. After 2010, we engaged the nudge unit—the behavioural unit—to think about how we could nudge people to make that choice before their death. That has had some benefit through organisations such as the DVLA, but especially in the training of staff in the NHS and the appointment of additional specialist nurses for organ donation. It is important that it is not the clinicians who have been trying to save a life who then have to speak to the family about organ donation. Having those specialist nurses available and staff having the right training is really important All those things happened under the Organ Donation Taskforce, so on that basis, I do not share the view of Chris Rudge, who was the transplant director when I was Secretary of State and was responsible for the implementation of the task force, who I believe continues to oppose deemed consent. I think we have an almost ethical obligation to do everything that may contribute to the achievement of higher donor rates and thereby to save lives. The noble Lord, Lord Hunt, is absolutely right: it is tragic that so many people are on the waiting list for organs and die or leave the list without the benefit of a transplant. We must do everything we can I urge colleagues to recognise that we must think very carefully about how we do that and to recognise that there are other things that we have done and should continue to stress which may themselves make a significant contribution. We should proceed only on the basis that there is consensus, which happily there is, between parties and, I suspect, widely in the country. The objective is so important that we must be willing to take the ethical step of deeming consent where we cannot be absolutely sure what deceased person’s view would have been. On that basis, I hope that the House will give the Bill a Second Reading.
ParlaMint-GB_2018-11-23-lords.u8	My Lords, first, I congratulate the noble Lord, Lord Hunt, on his appointment to the General Medical Council. I do not know whether I should also sympathise with him—I hope it bodes well for the GMC—because he certainly needs it I support the Bill, which proposes new opt-out legislation for the organ donation register. It is not a position I have held before when I have previously spoken about deemed consent, but I have had a change of mind Before I go any further, I am very pleased to see that the noble Lord, Lord Elder, will speak in this debate. I very much look forward to his contribution. I also put on record my gratitude to all those involved in organ donation. Every transplant is a reflection of the exceptional altruism of the donor and their family, and a testament to the care and hard work of many in the hard-pressed NHS. This has led to the organ donation and transplantation numbers reaching an all-time high. Last year, for the first time ever, 5,000 people benefited from a transplant in a single year Despite this, several challenges remain. As we have already heard, there is an increasing gap between the number waiting for a transplant and the number of organs available. Every day, three people who are in need of an organ die. As of 15 November 2018, 6,163 people are on active waiting lists for an organ. Over 300 are children, and over 300 are in need of a new heart. Change in legislation may not by itself be the magic wand, but together with other necessary measures, it may well begin to narrow the gap between those on the waiting lists and the number of organs available There is also the challenge of the huge imbalance between the number of people in black, Asian and ethnic minority communities who are in need of a transplant, and the number of suitable organs available for them. More organs from these communities are needed, as blood and tissue types must match, particularly for things like kidney transplants Surveys suggest that opt-out legislation leads to higher rates of organ donation, but at the same time, evidence of direct cause and effect is lacking. Clearly, as has already been mentioned by the noble Lords, Lord Hunt and Lord Lansley, other factors must also play an important part in raising the numbers. We need to be aware of what these might be. I agree with the Nuffield Council on Bioethics when it says that opt-out systems can be ethical, “if people are well-informed, families are appropriately involved (well-supported … ), and trust in the organ donation system is not compromised” This means that this Bill must pay serious attention to three key areas. The first is a well-informed public: the public should be informed on an ongoing basis—that point has also been made. Information about organ donation should be easily available The second area is the importance of families: families must stay at the heart of the decision-making process. In this respect, the role of the specialist nurses is crucial—again, this has already been emphasised. We need to make sure that there are enough specialist nurses available, as they play an important role at a very sensitive time in families’ lives, both for the donor and the recipient of an organ The third area is the importance of maintaining trust in the organ donation system. Public information on the new system will need to be backed up by the continuous education and training of the health professionals involved Let me now turn briefly to the challenges in relation to black and Asian communities and organ donation. Over 1,800 patients from black and Asian communities are on the waiting list for organ donation. Some 901 received a transplant last year, but had waited much longer; 114 people donated organs. Some 35% of the total number of patients waiting for kidney transplants are from black and Asian communities, partly because of the increased rates of diabetes and renal disease that occur in these communities, and partly because kidney transplants require a closer matching of blood and tissues than other transplants. It is important that these communities understand what opt-out means, and that they are involved. While the government campaign will focus on black and Asian and other ethnic minorities, it will require a sensitive approach on the back of opt-out legislation, providing culturally sensitive information, a targeted awareness-raising campaign, and issues that need to be addressed to gain the trust that will be required This legislation is widely supported by the medical and other health professionals and charities, particularly those such as the British Heart Foundation, and we should support it too. I hope that the House will not hold it back.
ParlaMint-GB_2018-11-23-lords.u9	My Lords, I too congratulate my noble friend Lord Hunt on his important work in bringing the Bill before us today, and of course on his new appointment—we are very proud of him In so many ways, the business of politics should be to minimise unnecessary pain and marginalise premature death, as the noble Lord, Lord Lansley, said. According to the latest NHS figures for the year ending March 2018, the total number of patients whose lives were saved or improved by an organ transplant increased by 7% to 5,090, as the noble Lord, Lord Patel, said. It is a mercy that we live in a time when, thanks to science and innovation, sick children can be given new hearts—but really they are old hearts. This is the most wonderful form of recycling we can ever hope to see. Like all good recycling schemes, the more people who get involved and take action and tell their kids about it, the stronger and the healthier our society becomes The statistics show that the incidence of every kind of organ transplant is rising, from donors both living and deceased. But hundreds still die every year while waiting on the list, hoping for a donor who does not appear. We are told of the 426 patients who died last year on the waiting list for new organs; of those, 17 were children. There can be nothing more gruesome for their families—all those loved ones who know that the science is in place and the doctors are ready, but the phone never rings. Their souls must be truly sealed up with tears Everyone knows a relative or a friend—I certainly do—whose lifespan has been extended by the good will of a fellow human being whom he or she will most likely never meet. The silent solidarity of one particular young man who has bone marrow drawn out of his pelvis so that an older man can defeat blood cancer is the most precious human currency we can ever store. The kidney, the pancreas, the liver, the heart and the lung can all be used more than once. A thousand tons of relief and joy must pour into families every year because of this modern, scientific and miraculous reality I congratulate Dan Jarvis and all those from all sides of the House in another place who have pushed so hard to make Max and Keira’s law not merely a step forward but, with this opt-out provision, a turn of the ratchet. The Mirror’s campaigning activity, sustained over several years, is a credit to the editor and the journalists concerned, as well as to all the brave families who told and retold their stories in its pages. Such a sustained campaign has been needed because, although 80% of people said they would be willing to donate their organs when asked last year, only 37% had recorded that decision on the NHS organ donor register. The gap is important Finally, as the noble Lord, Lord Patel, mentioned, we are surely all glad that, where in the past there have been cultural and religious inhibitions about post-mortem transplants, that now seems to be something of a losing force. I hope that continues. We have to hope that the whole of England, in all its glorious diversity, absorbs the message of deemed consent and that every community teaches its young that organ donation is one of the highest forms of good.
ParlaMint-GB_2018-11-23-lords.u10	My Lords, I am delighted to support this Bill and thank the noble Lord, Lord Hunt, for bringing it before us today. Its importance cannot be overestimated. It is a good and—thank goodness—simple Bill, and it will save lives. As the noble Baroness, Lady Crawley, and the noble Lord, Lord Patel, mentioned, there are encouraging signs of donors coming forward, but the statistics are still depressing and distressing. As we have heard, Wales already has a presumed consent or opt-out system, and Scotland intends to follow suit. As the noble Baroness, Lady Crawley, mentioned, research has shown that 82% support organ donation, and the public consultation showed unprecedented support, yet we know that only 37% are on the organ donor register This simple but effective Bill has the support of doctors and health campaigners. It will not, on its own, solve the problem of getting more donors on the register, but it will enable us to move forward and launch an awareness campaign. I am sure all noble Lords remember the huge publicity around the early transplants, when the successful recipients were household names, seen on TV and interviewed in newspapers and magazines due to the rarity of the procedure. Thank goodness that is not the case today and transplants are now an everyday occurrence, but that headline news was an incentive for people to come forward as donors. The general public are, on the whole, unaware of how important it is for donors to register. Most do not register unless they are personally affected Therefore, to be as effective as we hope it will be, this Bill depends on the awareness campaign around it. As the noble Lord, Lord Hunt, mentioned, there needs to be a cultural change. I think I am right in saying that, at present, family refusal rates in the UK are considerably higher than in many parts of mainland Europe. There needs to be education in schools, colleges and universities; an awareness campaign on the radio and TV, in newspapers, magazines and social media; a campaign on lives saved, with examples from donors and recipients; and, perhaps most importantly, a campaign to encourage families to have the conversation. As the noble Lord, Lord Hunt, mentioned, letting the relatives know the organ donor’s decision will make it much easier for them to be supportive at a time of immeasurable grief. I still remember vividly how difficult it was, when I was nursing, to have this conversation with relatives and loved ones, who more often than not were unaware of a donor’s wishes. This Bill does not change families’ rights. They will continue to be included and will not be overruled; it will not close families out. But the way in which the possibility of donation is presented can have a critical impact on the decision that relatives and loved ones make. Timing, language and the right healthcare professionals are all important factors, and I was pleased to see confirmation in a letter from my noble friend the Minister that there will be specialist nurses for organ donation and a key focus on training to enhance skills in supporting grieving families. It is also vital that those who opt out and relatives who do not give consent feel no shame, and that we respect their decisions This Bill is a no-brainer, as far as I am concerned. With the right campaign, it will become apparent that this is not a forced choice and that organ donation is still a gift, perhaps one of the greatest gifts that can be given from one human being to another. One donor can help many recipients. The donor process benefits not only recipients, but also the families of donors and recipients. Recipients’ families have the joy of having their loved ones returned to health, while donors’ families find meaning and gain peace from knowing that lives have been saved as a result of the unfortunate death of their loved ones Once again, I thank the noble Lord, Lord Hunt, for bringing this important Bill to our attention, and I am grateful for all the clear explanations of it from both the noble Lord and the Minister, my noble friend Lord O’Shaughnessy. I am delighted that the Government fully support it. Let us now get on with it and get the Bill through Parliament.
ParlaMint-GB_2018-11-23-lords.u11	My Lords, I congratulate the noble Lord, Lord Hunt of Kings Heath, on bringing this important Bill to this House. It will bring organ donation legislation in England in line with that of Wales and Scotland for the benefit of all. I should declare that I was involved in the early stages of consultation in Wales, and I introduced the Kidney Transplant Bill in 2008 for presumed consent to donate one kidney, provided there was no evidence either from a central registry or from the dead patient’s relatives that he or she had opted out of being a potential donor. My Bill did not progress but I continued to have an involvement in the developments in Wales Many years ago, I conducted a study of bereaved parents and was struck by the comfort that donation gave them after their terrible, tragic loss. Some regretted not being asked about transplant donation and one regretted having declined Laws send social messages. When we were considering such legislation in Wales, we undertook very widespread consultation and carefully considered the pros and cons. I hope that England can now learn from our experience, because all the planning and consultation was essential to the success of the legislation when it came into force I want to cover how we went about it, the results of our process overall and things that I hope the Minister and the team will implement to take this forward. I am grateful to Professor Vivienne Harpwood from Cardiff University school of law for giving me the latest data. She has worked on this issue for years. I also pay tribute to the noble Baroness, Lady Randerson, whom I would like to call a friend—she is indeed a friend—for the important role she has played in Wales A tremendous amount of careful thought and planning contributed to the success of the legislation: there was very careful consideration of the ethical issues; we studied the outcome of similar legislation in other countries and consulted with many sections of society, including faith groups and ethnic minority groups to help us understand their sensitivities, respect their views and address their concerns; and numerous meetings and consultations took place. Although the Human Transplantation (Wales) Act obtained Royal Assent on 10 September 2013, the system did not begin to operate until December 2015 to allow adequate time for people to absorb and understand essential information about the new law As we had decided to introduce a “soft” opt-out system, we realised that it was necessary to have a large-scale information/education process, during which families were encouraged to discuss their wishes and people were urged to make their views about organ donation known to their relatives. Every household in Wales received carefully designed bilingual written information on more than one occasion, and there was an extensive media campaign, roadshows in supermarkets and other places, and a national countdown clock. This campaign informed people clearly that they could either opt in or opt out of the organ donor register, or do nothing if they did not object but wished their family to decide. A 20-second TV advert urged, “Talk about your organ donation decision or someone else may speak for you”. It was very powerful By 2017, over half the adult population in Wales had talked with family about their wishes. The widespread publicity about the benefits of organ donation helped people understand the gift of life, and we saw an early rise in the number of organs donated and transplanted. We also invested in training specialist nurses in organ donation. As the noble Lord, Lord Hunt, stressed, these nurses are key to the legislation working well. They sensitively explore the family’s recall of those conversations and their feelings It is essential that the bereaved family are able to express their views and know that they will be respected, as the Bill before us ensures. There must never be pressure on families. They are being asked to consider donation when they are numb at the sudden loss of the person they love—their child, spouse, fiancée, partner, brother, sister or a parent. Their grief at that time is overwhelming, and they live for the rest of their lives with the events of that tragic day. They remember every word of the conversations they had, second by second. That is why a soft opt-out, as in this Bill and in Wales, is so important Remembering donors and thanking families with national events, such as the Order of St John services of thanksgiving, are important to recognise that they have given the gift of life. In my own family, the service honoured the man who died, bringing enormous comfort to all the bereaved, including his children. Three and a half years after we implemented our legislation in Wales, we now have the highest combined donation rate in the UK of 80.5% after brain stem or circulatory death. Currently, England runs at 66.2%, Scotland at 63.6% and Northern Ireland at 66.7%. Donation after brain stem death now has consent rates in Wales of 88.2%, as opposed to those in England at 73.3%. Donation after circulatory death consent has also risen in Wales to 68%, compared with 59.8% in England. These figures are better than we were expecting when the legislation was going through the Assembly, and the accompanying publicity campaign might account in part for this latest good news and, importantly, that we have not had the problems or backlash predicted There has been a steady increase in Wales. On 1 December 2016—the first anniversary of the implementation of the new legislation—the figures indicated that 39 organs were transplanted from patients whose consent was deemed. Welsh Government reports published on the same day were accompanied by positive statements by both the First Minister and the Cabinet Secretary for Health. By February 2018, 39% of the Welsh population had opted in to donate When you speak to people from donor families, you realise how glad people are to have been able to transform the lives of complete strangers, despite having faced the overwhelming tragedy of losing a loved one. You realise how important the recognition of their gift is, through these services of thanksgiving and so on, as they go forward in their own lives I seek two reassurances from those taking this forward. The first is that the public education campaign will be as thorough and carefully planned as ours in Wales. The second is that it will be accompanied by enough intensive care beds and specialist nurses in organ donation. Families must never feel hurried, and there can be a need to maintain hydration and oxygenation while waiting for the transplant to be set up. Even those waiting for a transplant always keep the phone by them, anxiously waiting for that call to the operating theatre, but it can take some time to get there. I am grateful for the assurance given in the letter from the Minister and the noble Lord, Lord Hunt, that preferential donation, which I argued hard for in 2009, will not be jeopardised. Where a family member is awaiting transplant, and the tissue is compatible, relatives must be able to ask for that specific organ to go to that person, while other organs go unconditionally to others waiting On a solemn note, I hope with this Bill we will see an end to transplant tourism, where desperately poor people sell an organ—nearly always a kidney—or, even worse, organs are harvested from executed prisoners. We should follow Italy, Spain, Israel and Taiwan in legislating to confront this abhorrent human rights issue, but that is for another day The Bill before us today is incredibly important. It can help the 5,000-plus people waiting for a transplant to join the 50,000 now living thanks to organ donation. It is truly the gift of life, and it deserves a smooth passage.
