ParlaMint-GB_2018-09-07-lords.u1	That the House do now resolve itself into Committee.
ParlaMint-GB_2018-09-07-lords.u2	At end insert “but regrets that the bill has not been brought forward by the Government, in the light of its constitutional importance; and that the bill proposes piecemeal, rather than wholesale, reform of the membership of the House”.
ParlaMint-GB_2018-09-07-lords.u3	My Lords, I shall not detain your Lordships for more than a few moments. I am not opposed to House of Lords reform as a matter of principle. Indeed, back in 2012, when the Government introduced a reform Bill in the other place, I sat on the pre-legislative scrutiny committee and was not opposed to that in principle at all, but it did not get very far and failed in the House of Commons. Since then, here in your Lordships’ House, we have listened to the recommendations of the noble Lord, Lord Burns, to which I am not opposed either, but none of these considerations is taken into account in the Bill proposed by the noble Lord, Lord Grocott, which contravenes the undertakings given in 1999. Against that background, I beg to move the amendment.
ParlaMint-GB_2018-09-07-lords.u4	My Lords, I apologise to the House for having been unable to take part in Second Reading and the first day of Committee. I declare an interest as a hereditary Peer I agree with my noble friend Lord Trefgarne that important constitutional legislation should be brought forward by the Government rather than by a Private Member’s Bill. In June 1999, my noble friend Lord Denham asked the following Question of the Lord Chancellor: “Just suppose that that House goes on for a very long time and the party opposite get fed up with it. If it wanted to get rid of those 92 before stage two came, and it hit on the idea of getting rid of them by giving them all life peerages … I believe that it would be a breach of the Weatherill agreement. Does the noble and learned Lord agree?” The Labour Lord Chancellor, the noble and learned Lord, Lord Irvine of Lairg, said in reply that, “I say quite clearly that … the position of the excepted Peers shall be addressed in phase two reform legislation”.—[Official Report, 22/6/1999; cols. 798-800.] Nothing could be clearer than that. That is why I believe that this Bill indeed breaches the Weatherill agreement and the House of Lords Act 1999 I remind the Committee of the importance of the Labour Lord Chancellor’s words in March 1999, when he said: “The amendment reflects a compromise … between Privy Councillors on Privy Council terms and binding in honour on all those who have come to give it their assent”.—[Official Report, 30/3/1999; col. 207.] As the noble Lord, Lord Grocott, was Tony Blair’s Parliamentary Private Secretary at the time, he must have been well aware of this. To the hereditary peerage, it was a vital part of the 1999 Act and a condition for letting it have satisfactory progress through the House I cannot understand why this area of the House needs reform when the by-elections have produced such capable replacements for the 90 such as the noble Lords, Lord Grantchester and Lord De Mauley, the noble Earl, Lord Cathcart, and the noble Viscount, Lord Younger of Leckie, all of whom are or have been on the Front Bench of their respective parties. It would seem more urgent to reform the life Peers system, which the Burns report proposes. The hereditary Peers are a strong link with the past, a thread that goes back to the 14th century. Until relatively recently, in House of Lords terms, the House was entirely hereditary. By-elections provide a way into this House that is not dependent on prime ministerial patronage.
ParlaMint-GB_2018-09-07-lords.u5	My Lords, to address the issue that has been put before us and to avoid prevarication, there is a new phase 2: it is Burns. There may be a phase 3—who knows? If a Jeremy Corbyn-led Government were elected, there would a phase 3 which might disturb the Benches opposite slightly more than not having by-elections for hereditary Peers. Burns is a phase 2, and it has consequences. Unless the issue of hereditary Peers and by-elections is addressed in the way that my noble friend Lord Grocott proposes, it is not my party or the broader opposition who will find themselves in difficulty, it will be the Conservative Benches. I would like them to reflect on what would happen if we implemented Burns and this House were decanted in six years’ time, with the two things coming together, and the Conservatives were faced with hanging on to their hereditary Peers while losing their life Peers.
ParlaMint-GB_2018-09-07-lords.u6	My Lords, I am a great admirer of our hereditaries. Man for man, pace my noble friend Lady Mar, they are at least a match for those like me who have been appointed here. They are a match in their commitment, their contributions to the House, their expertise and, as the noble Lord, Lord Mancroft, pointed out at Second Reading, their independence of mind and spirit Like many others here, I would welcome wider improvements in our appointments system, with a larger role not least for the noble Lord, Lord Kakkar, and his excellent Lords Appointments Commission. In the meantime, I strongly support this Bill, which would go some considerable distance to enhancing the reputation and image of this House. Therefore, far from supporting the amendment in the name of the noble Lord, Lord Trefgarne, I see positive merit in this reform being achieved by way of a Private Member’s Bill rather than by government. It demonstrates our own desire and commitment to achieving reforms for ourselves. Consistently with that goes the report of my noble friend Lord Burns, which again is our own attempt to modernise and reform this House. I cannot resist harking back to the words of the noble Lord, Lord Grocott, in closing the Second Reading debate. He asked why hereditaries should, “have an assisted places scheme to get into the House of Lords?”—[Official Report, 8/9/17; col. 2186.] There has been much criticism throughout these debates of hereditaries being, virtually without exception, male and white. As the noble Baroness, Lady Berridge, put it at Second Reading, the existing system is, “gender and racially biased”. Surely altogether more fundamentally objectionable even than those criticisms is the fact that this system favours a very tiny, and—I suppose I had better put this in quotes—“well born” number within a wider population of millions. A number of those millions may have even more to contribute to our House than the hereditaries—the few future hereditaries who, if the Bill passes, will not join us. In short, why should they have assisted places? Should we not modernise and reform?
ParlaMint-GB_2018-09-07-lords.u7	My Lords, I shall say just a few words at this stage. First, I must declare an interest: I was chairman of a royal commission some years ago that produced a number of proposals for reform of the House of Lords, and I have to say to the noble Lord, Lord Grocott, that it did not include by-elections for Peers. I am sympathetic to what he wants to do; my concern is about the timing. Since that report, we have had a Bill from the Labour Government, from Jack Straw, which failed to get through. We had a Bill from the coalition parties which failed to get through. Some of us felt that there was very little likelihood of any Government bringing forward another Bill to reform the House of Lords.
ParlaMint-GB_2018-09-07-lords.u8	My Lords, I intervene briefly to set out the Government’s views on the Bill in general and on the amendments in particular. While we have reservations about the Bill, it is difficult, as has just been said by my noble friend, to reconcile it with the undertakings given at the time of the abolition Bill. Despite the eloquence of the noble Lord, Lord Grocott, he has not achieved consensus on his measure. Despite that, we have no plans to block the Bill or impede its progress, which is why I may not intervene on every one of the subsequent amendments. I say in passing that most Private Member’s Bills do not get this second bite at the Committee cherry On the amendments we are debating, I gently point out that previous Labour Governments never introduced the comprehensive reform called for in both amendments, but that the coalition Government did. It got a large majority at Second Reading in the other place, but the Bill then stalled because there was no agreement on the programme Motion, and without that the Bill was dead. As the then Leader of the other place I accept some responsibility for the failure to get my colleagues to agree to that Motion, but I gently point out that had other parties agreed to it—and other parties were committed to the policy—the Bill would have proceeded Once bitten, twice shy. We made it clear in our manifesto last year that such legislation was not a priority. Indeed, why risk wasting a large amount of time on a measure that had so recently failed? Instead, we said we would support incremental reforms that command consensus across the House. We can argue as to what is “incremental” and what is “consensual”. I note that at Second Reading there were 13 speeches in favour of the Bill and eight against, and that on our first day in Committee a number of my noble friends made it clear that this is a measure about which they feel so strongly that they are prepared to do whatever is necessary to delay progress, notwithstanding the fact that the Bill has no prospect of getting through the other place and on to the statute book Looking at the amendments today, concerns about the Bill are not confined to my party. The Government’s view is that the energies of the House may be better employed in implementing the recommendations of the Burns report, where all parties are committed to reducing our numbers. Burns was silent on the question of these by-elections, although it noted that the proportion of hereditary peers in a reduced House would increase if no action were taken, a point made by the noble Lord, Lord Blunkett, and that by-election winners would pre-empt the appointments that would otherwise be made, impacting on my party and the Cross Benches.
ParlaMint-GB_2018-09-07-lords.u9	May we infer from what my noble friend has just said—I hope we can—that Burns will be given a fair wind so long as this House demonstrates again its overwhelming support for Burns?
ParlaMint-GB_2018-09-07-lords.u10	Noble Lords demonstrated their support for Burns in the debate that took place last December. It was also confirmed in a debate that took place a year earlier, which I think my noble friend introduced, where the House voted to take steps to reduce its size. As my noble friend knows, the Burns committee has been reconvened and I hope that progress can be made The Prime Minister has maintained her policy of restraint so far as new appointments are concerned, with the lowest number of dissolution honours since 1979 and a smaller House than when she took office. Having restated the Government’s position, I propose to listen with interest and patience to the exchanges on the amendments, intervening only when absolutely necessary or when provoked beyond endurance.
ParlaMint-GB_2018-09-07-lords.u11	My Lords, we will try not to provoke beyond endurance. I regret this amendment to the Motion that we should go into Committee. In a sense, it is another Second Reading and that really is not the way that we deal with Bills. I will say only two things. First, 1999 is nearly 20 years ago; in that time, much has happened and much is happening now. Just down the corridor they are reducing the number of MPs by 50, as if that has no impact on the size of the Government or of this House. It seems extraordinary that when the Government are putting a lot of pressure into doing that, they now sit and say that they will do nothing on this issue. That is regrettable. It is something that we could do Secondly, I think that the noble Lord, Lord Wakeham, is wrong to say that it is not for us to do. In the very wise words of the noble and learned Lord, Lord Brown, this is our way of showing that it is for this House to begin to do something. If we take a lead on this, it will help to give a fair wind to Burns. If we cannot even do this minor thing—this just puts more men into this House; a very small number—and begin to reduce the numbers, it does not seem to me that we are very interested in bringing this House into the current century.
