ParlaMint-GB_2018-02-23-lords.u1	That the Bill be now read a second time.
ParlaMint-GB_2018-02-23-lords.u2	My Lords, quite by accident, I experienced last Tuesday one of the most emotional occasions of my life. We are a very small village, and a man of 57, who had always been at the centre of village life, died. It was his funeral on Tuesday. He had been born, brought up, and died within a stone’s throw of the parish church. The funeral was held in the church, attended by so many people that they were standing in the tower place, in the open doors of the vestry, behind the altar rail and in the rain outside. It was very moving. But he had been a regular attender at the nonconformist church in the next village, and the service was entirely taken by the minister of that church. It was an uplifting experience. There we all were—Anglicans, Catholics, nonconformists, those only just believers, or those not believing at all—to say thank you for somebody whom we will miss and whom I shall miss every day of my life I reflected then on how generous it was of the established Church to make it possible for any of these services to take place in the parish church. Any of these services—except marriage. A year ago—I declare an interest in this—my daughter got married and wanted to get married in the church in which her grandparents are buried. We are one of a very small number of families who help to keep the roof on, although we are Catholics; another family that keeps the roof on is also Catholic, but that is part of what we think we should do in the village. I discovered that she could not be married by a Catholic priest. She wanted to be married by her chaplain from school, somebody whom she loved and who had helped their marriage to start, not least in the difficulties of today, when very often husband and wife are not necessarily from the same denominational background. The excellent Anglican bishop explained to me that, first, the Church of England’s canon, which had been changed to cover these other services, did not cover marriage, and secondly, that in any case it could not be done because of the state’s law At this point I have to try to explain this. It is quite difficult to explain, because I have had to explain it so much to lawyers who have not understood the basis of all this. During the passage of the Marriage Act 1949 the then Government did not want to upset the Church of England and thought it would be much better if they had a simple way of excluding it from their tidying-up process. The Marriage Act works in two halves. The first half refers to parish churches of the Church of England and says that they are automatically licensed for marriage, “according to the rites and ceremonies of the Church of England” If they had not put that bit in, there would be no problem. The second part explains that all other denominations have to get their churches licensed—they have to register—and then they can have marriages of any kind they like, including marriages according to the rites and ceremonies of the Church of England. This was, therefore, an easy way of stopping a great deal of bureaucracy. I have no objection to that; it seems perfectly reasonable. But there was a mistake. Some say—I think the right reverend Prelate the Bishop of Winchester is one—that the Church of England could do this if it wanted to without this change in the law. That is a disputed argument—I can vouch for that, because I know the people who dispute it. So that is the first bit The second reason is something that I am sure your Lordships understand but I raise it in case anyone has not thought about it recently. We in Britain are the most wonderful exponents of the fudge, and our marriage system is a fudge. Instead of the French system of going to the mayor and having a civil marriage and then going to the church and having a religious marriage, we give clergymen of all denominations the duty of being a registrar. Therefore, when you have what in my view is that awfully embarrassing bit in the service when somebody has to make sure that the organist has a long enough piece to play while mother, father, grandmother, great aunt, the woman you cannot leave out and all the rest of them go into the vestry to sign, or witness the signing of, the register, that is—although the music gives it a certain religious awe—a non-religious activity which does the state’s bit I emphasise that that is done by any denomination. You can be a strict Baptist—the local nonconformist church in my area—or a Catholic and you do precisely the same thing: you fill in and sign the form, and you can do it because you are a registered clergyman of a denomination which has a church in which you can hold marriages. You would have thought that anybody who was allowed to do so could do that bit. However—I have had an enjoyable time finding out about all this—when most legal authorities find out about that, they look it up and tell me that I am right: that the Church of England could not do that if it wanted to unless we changed the Marriage Act 1949 The proposition in the Bill before your Lordships is extremely simple. It does not require the Church of England to make a change. In that sense, we have disestablished the Church of England. It has its own synod making its own decisions, so the Bill does not insist that the Church of England makes the change. However, it would remove any impediment that there may be so that the Church of England could make that change. It might not want to do so. I thought that there would be no difficulty with this, because it did not seem to me that in a world of ecumenism the Church of England would want to stop such things happening Perhaps I may sum that up. When I rang my Anglican bishop and told him what I wanted, he said, “Well, John, you can have the mass but you can’t have the nuptial bit”. There is nothing that divides the churches more than the mass, but if the bishop, the vicar and the parochial church council agree, the Church of England will, in its generosity, allow me to celebrate a birthday by having a mass in my parish church—which, after all, was built at a time when it would always have been the mass, although I shall leave that on one side. Those are the circumstances The Bill takes every precaution. It makes sure that it cannot be used for some other purpose. That is why the details come directly from the Church of England’s rules relating to allowing a Methodist minister to have a Methodist service in an Anglican church. Nothing in the Bill extends that. Anybody here who thinks that it might open the door to gay marriage or result in the solemnisation of Wicca can rest assured because it does not. It merely says that a parish, its vicar and the bishop can together allow a marriage to take place according to somebody else’s Christian denomination’s marriage service Perhaps I may explain the four reasons why I believe this to be really important. First, marriage is the one sacrament made between two people, not by the priest or clergyman. Many people, particularly those who want a church wedding, come to marriage with the help of the clergy upon whom they depend. There is no doubt that it is a moment when most people want to choose somebody with whom they have a real connection. Very often it is the person who has helped them to get over particular problems. A friend of mine who is a priest is helping another friend of mine who wants to marry someone who does not have any religious understanding at all, whereas she cares about religion deeply. He is helping those two to get together. He happens to be a Catholic priest and will not be able to marry her in the church in which the boy has at least some connection. Quite simply, I want that not to stop their proceeding in the way they wish Secondly, we live in an ecumenical world, and we have to come to terms with that in many villages and, I am sure, many parishes in towns. There is the question of how two Christian parents bring up their children in the faith, and that starts with the promises that they make in marriage. It is important for people to have a service that ties them into the family and into all the forces that might help them live their lives together. Very often it happens in their home parish, whereas they now live somewhere entirely different. It is very important for them to be able to do that and I want that choice to be open to all My third reason for wanting to bring about this change is to deal with the fudges that otherwise take place. Let us not kid ourselves—people get round it. There are two well-known ways of getting round it. In our chapel here, all noble Lords can have their children baptised and can have a service of any kind—every Wednesday, we Catholics go to mass; the United Reform Church has a special service; and the Church of Scotland has a special service. You can have all that. But no one, unless they are an Anglican, can get married there unless they are prepared to have an Anglican clergyman and the Anglican rites and ceremonies—even though that is peculiar. I will tell noble Lords what the two fudges are. One fudge is that the couple get married in the Catholic church round the corner and then come and have exactly the same service in the chapel downstairs, to which they invite their guests, and call it “a blessing”. They know which was the service at which they were actually married. Is the fudge to meet the requirements of the Church of England? I hope not. Rather, it is to meet the requirements of the law of the land. That is the distinction that I am trying to make The other way is much less of a fudge. When an Anglican clergyman is decent enough to understand what this means to the couple, he and the Catholic priest, Methodist minister or Baptist minister will do the whole service together without anybody doing one bit or the other. The law can then decide which of them actually married the couple I do not like fudges. I hope the House knows that, in all my political life and certainly in all my life in this House, I have gone against fudges. I want truth. I do not see why we should be put in this position by the 1949 Act The last point is rather more challenging. I almost remember the beginning of the ecumenical movement at its great conference in the Netherlands in 1948, which my father attended as an Anglican clergyman. It depends for its continuation and extent upon generosity and learning to live together. In a small village community, births, marriages and deaths are what mark our timetable—we are much closer to that, happily; it keeps us sane, frankly, and is what matters to us. We want to celebrate those things together. Here, I want the Church of England to be challenged and to decide for itself whether it is prepared to make this step towards a more ecumenical society. In discussing this with those who oppose it, I have discovered one rather serious thing: many of them do not want the Act changed because then they would have to face the choice. They would have to ask: will we in the Church of England continue to stop it? The Church would no longer be able to excuse it, because the law would make that impossible This is where I have to say something which may hurt. It is funny looking back: I was on the General Synod and a very active member, but when I became a Catholic I found three fascinating things. The first and less helpful thing is that the hymns in the Catholic Church are ghastly. There is a woman called Estelle White, who I believe will have the longest period in purgatory of anyone because she knew neither how to rhyme nor how to do metre, nor could she choose tunes, and she is theologically largely inaccurate—otherwise, she is all right. The second thing I discovered is that, for the first time, I went to a church that was filled with people of every possible colour and social status, from the person who swept the roads to the local squire. I had not realised quite how middle class the Church of England had become. I just wish to say that that had a remarkable effect on me The third thing I discovered, less happily, is that there was a tendency always for the Church of England to insist upon its position. So in a village that is largely strict Baptist, you could almost see the Baptist minister being edged out. I can think of one village, where there was no Anglican church, but still the Anglican clergyman took the lead at the war memorial, as he thought was right. I also remember when, for the first time since the Reformation, the mayor of Aldeburgh—the first woman mayor, Elizabeth Garrett Anderson, came from Aldeburgh—who was a Catholic, appointed a Catholic priest as his chaplain. I remember going to the established church for the service. The chaplain was hidden as far as possible and the service went through as if there were no chaplain—but it was perfectly all right to have the Freemasons dressed up and sitting in two rows of the church I do not think that that is what the Church of England ought to be like, and I do not believe it really is like that. That is why I say this to the right reverend Prelate the Bishop of Winchester: please, take the simple point that the Church of England may have the powers—I think he thinks it has—but let us make sure it does have the powers and then let it argue the case, if there is a case, to deny this hospitality and restrict ecumenism. But do not say that we do not need this, because that is constantly used as the excuse. Sometimes, we need a challenge. I challenge the right reverend Prelate to explain to me how, in the words of the prayers we have just heard, it can possibly be charitable to say to a young couple who live in a village, “You can come here and we will allow your priest to say mass, but he can’t marry you”. That seems to me not to be charitable. I would like the Church of England to show itself to be not only charitable but generous. Its established position depends on that. Without that, it is very difficult to argue that it should remain established in a country where there are many more Christians of other denominations—let alone anybody else—who would like to share in our common heritage.
ParlaMint-GB_2018-02-23-lords.u3	My Lords, I am grateful to the noble Lord, Lord Deben, for giving us the opportunity to speak about issues of such importance to this Bench as the celebration of marriage and our ecumenical relationships. I first acknowledge the personal and pastoral issues raised by the noble Lord and the way that he has so succinctly put those in his four concluding points about sacraments, the ecumenical world, the fudges and the ecumenical movement I am, therefore, rather embarrassed to start with something slightly more dry and technical. However, I begin by addressing what I believe to be the key issue here, which is constitutional in nature. There is a long-standing constitutional convention, with which noble Lords will be very familiar, that the Church of England makes its own legislation by synodical process. That legislation comes before Parliament for approval, having first been considered by the Ecclesiastical Committee. This Bill represents a departure from that convention As many will be aware, ecumenical relations are governed by Measure. The Church of England (Ecumenical Relations) Measure 1988 and the use of Church of England buildings by other Christian denominations is governed by Canon B43, what is known as the ecumenical canon. There are already structures which give expression to the valuable relationships that we have with our ecumenical partners. Indeed, members of the Church of England are convinced that Christian Churches should work, pray and witness together in a growing unity. As the noble Lord, Lord Deben, underlined, our prayers this morning reminded us of that—that we might live together in true charitable love With regard to the participation by ministers of other denominations in Church of England weddings, Canon B43 already offers considerable flexibility, with the result that Church of England weddings regularly involve ministers of other denominations. There are even provisions for the sharing of church buildings in certain circumstances. However, these practical arrangements flow from the relationships between Churches of different denominations which, as I have said, involve dialogue on many levels, not least the doctrinal one The current arrangement is not a result of the unintentional effects of the wording of the Marriage Act 1949. As the noble Lord, Lord Deben, will appreciate, practical arrangements flow from the progress made on ecumenical dialogue rather than the other way around, and it is no more appropriate for Parliament to prescribe to the Church of England or any Church how it carries out its ecumenical relationships than it would be to legislate on any other questions of doctrine.
ParlaMint-GB_2018-02-23-lords.u4	The right reverend Prelate uses the word “prescribe”. This Bill prescribes nothing; it permits. Earlier he said that in this House we have a long tradition of leaving law to the Church of England. That is what this Bill does. It removes the power of this House to stop the Church of England doing something. It is the removal of an impediment; it is not a prescription. If one uses those two words, it would be a different Bill, and I have specifically avoided either of them.
ParlaMint-GB_2018-02-23-lords.u5	The noble Lord makes his points clearly on these matters, but I hope that he will listen to what else I have to say and see if I have responded to the questions that he has raised In my understanding, the Roman Catholic Bishops’ Conference, with which I am pleased to say we have very good ecumenical relationships, is not supportive of the Bill. I am also advised that the Church in Wales is likewise unsupportive I turn to the text of the Bill. Here I may have to go into a little detail and I may not quite say what the noble Lord, Lord Deben, thinks is my position. Clause 1 defines: “Christian denominations other than the Church of England”, as, “any denominations whose ministers and churches can be licensed for the solemnization of marriage under the Marriage Act 1949” This is in the first place erroneous in that it is the building and not the minister that is licensed. More importantly, that Act makes provision for places of worship of many faiths to be licensed. The result here is to leave undefined the question of what a Christian denomination is and affords potential legal rights to the use of churches to new religious movements with which the Church of England does not have existing formal ecumenical relationships. We are returned to addressing questions of doctrine, creed and ecumenical dialogue, all of which ought properly to sit with the Churches themselves. For the Church of England in particular there is not in the present legal framework provision for the exercise of discretion by an incumbent, PCC or diocesan bishop in individual cases over whether a marriage can take place or can take place in one place or another All other legal requirements being in place, if a couple live in the parish, they have the right to be married in the parish church. The Bill unhelpfully gives wide discretionary powers through the making of exceptions to a general rule. Setting aside the long-winded process that would be involved in gaining formal consent from an incumbent PCC and diocesan bishop, it is hard to see how in natural justice this discretion could be exercised with sufficient fairness and transparency to be acceptable. The more one imagines specific cases, the more there is to be said for a legal framework which does not contain the element of personal discretion It has been pointed out, and the noble Lord has himself made it clear, that there are some places in mainly rural areas where the Anglican church is the only church building convenient for weddings and that it would be better for marriages of other denominations to take place in them than for couples to have the choice between either a church or chapel of their own denomination in an inconvenient location or in a secular venue where religious content to the marriage service is not permitted. But it seems upside down to start addressing this issue with the matter of weddings when it relates to the mission and ministry of the Christian Church in the area. It is already possible for denominations to enter at the local level into a sharing agreement under the Sharing of Church Buildings Act 1969. Under the terms of such an agreement, each participating denomination can celebrate marriage services in accordance with its own rites and usages. The shared building can be a Church of England parish church or chapel, for example. There are many more problems of detail into which I do not propose to delve here, but would need to be unpacked at greater length were this Bill to reach Committee It would be a great mistake if I were to speak here of only church buildings and church ministers. The local church building, parish church or licensed chapel is significant as the focus of a worshipping Christian community. Marriages are solemnised in the building as an expression of the reality of that parish community, and in some cases of a community with a historical identity spanning centuries. The prayer, support and friendship of the local Christian community gives extra depth and meaning to the event of a marriage ceremony. In that, the church building is so much more than a wedding venue For all the progress that it might appear to embody, I must none the less urge the House to recognise that this Bill is not the way to encourage the ecumenical hospitality for which we continue to work and to which I am personally committed. I want to leave it, having heard the challenges put by the noble Lord, Lord Deben, right at the end of his remarks—those very direct challenges to the Church of England—which we must address.
ParlaMint-GB_2018-02-23-lords.u6	My Lords, I am delighted to follow the right reverend Prelate and to agree with him. I do so because, as a loyal and active member of the Church of England, I sometimes find that loyalty sorely tested, not least by some in the hierarchy in the Church of England who tend—how can I put this?—to be inclined to the listen less to the views of their congregations and more to the liberal, left-leaning and hand-wringing attitude towards affairs of state with which I find it difficult to agree. However, on this occasion I am delighted to agree with the right reverend Prelate This is about ecumenical marriage. My own marriage took place down the road in the Guards’ Chapel and involved both the chaplain of the chapel, who I suppose legally married us, my parents’ excellent priest who remains a great friend, and indeed a great friend of my wife, who is a monk at Ampleforth. It was an ecumenical marriage with Catholic input, and we were very grateful to him for it. I wish to say that I do not oppose anything ecumenical about marriage I am also the godfather to two Roman Catholic children. My noble friend Lord Deben expressed his wish that we should be more ecumenical. I should say that they are now both delightful young men, and I am glad to still be their godfather. At the christening of one in Nightingale Square, as I walked across to the church with my friend who is an Anglican but married to a Roman Catholic, he said, “The priest has insisted that all the godparents should be Catholic, so I told him that you were. Could you confirm that if he asks you”? I said, “Actually, no, I am afraid I will not. I will tell him the truth”. Luckily, he did not ask me. I have told this because it is important that we should all take a moderate and reasonable view of ecumenicalism I was moved to take part in this debate because I am instinctively uneasy about the measure for three reasons. The first has been much better expressed by the right reverend Prelate the Bishop of Winchester, but it is important that the Church takes the lead and makes decisions in this matter. The Church of England, which is often criticised, is an extremely emollient beast. My noble friend Lord Deben referred to fudge, but it seems to me that the fudge over the christening that I was talking about was just as much fudge as the Church of England ever takes part in. I have always found the Church and bishops to be reasonable.
ParlaMint-GB_2018-02-23-lords.u7	I am trying to follow my noble friend’s argument and looking at the text of the Bill. In Clause 1, subsections (1), (2) and (3), the word “may” appears, not “will”. It is a permissive Bill. Why is he suggesting that this is a direction to the Church?
ParlaMint-GB_2018-02-23-lords.u8	My noble friend makes a good point, but I will come to why I am entirely against the measure in a second, if I may My point is that it must be for the Church to decide. If the Church brings forward such a measure, as the right reverend Prelate said, then Parliament may decide because of the nature of the established Church. It is of course the national Church—the established Church. One might say that it is a strange historical quirk, but it is not unreasonable to expect it to make decisions on these matters. Indeed, it would be quite wrong for us to try to influence the Church—let it lead on this matter and not us I would not presume to instruct the Roman Catholic Church on its doctrine on abortion, homosexuality or whatever it might be, much of which I profoundly disagree with. I do not always agree with everything that my own Church says, but it would not be for me or any other Anglican to dictate to the Roman Catholic Church how it runs its affairs. For instance, we might have a law proposed in this House that the holy water in the font at the entrance to each Catholic church should be tested for bacteria once every day or week or something—and some Anglican churches as well of course—but that would be going well beyond what any Parliament should do I should say to my noble friend Lord Deben that I find it somewhat strange that the measure should be proposed by somebody who has actually rejected the Church of England. That is why I am instinctively uneasy about it and would rather follow the lead of the Church of England than someone who does not actually like the Church of England.
ParlaMint-GB_2018-02-23-lords.u9	I wonder if I might take the noble Lord back to his original point that he felt it important that the leadership of the Church of England should listen to the people in the pew, if I may put it like that, like himself. Does he have any evidence that the leadership of the Church of England—I should say that I am a practising Anglican in that I practise regularly but do not seem to get any better at it—has actually consulted him and me? Indeed, I cannot see in the Explanatory Memorandum that the synod has actually taken a view on the Bill of the noble Lord, Lord Deben. Is this something that, at this stage, the leadership of the Anglican Church has decided on its own? Has he been consulted?
ParlaMint-GB_2018-02-23-lords.u10	I am delighted at last to have something on which I entirely agree with the noble Lord, in that I too practise but do not get any better at all, so we have common ground there. However, no, I have not been asked, but then I have not been asked about a great many matters of doctrine or governance of the Church. It may be something that should be brought forward in the synod, which would be a good way forward.
ParlaMint-GB_2018-02-23-lords.u11	My Lords, it is a great pleasure to lend support to the Ecumenical Marriage Bill that the noble Lord, Lord Deben, has laid before your Lordships’ House. I have two reasons for doing so. One concerns ecumenism and the other concerns marriage, and I will take them in that order First, I say to the noble Lord, Lord Robathan, who has just resumed his seat, that this does not concern doctrine. I was concerned at the end of his remarks to hear him use the word “dictate”. The whole point about this Bill is that it does not dictate to anybody. I was pleased to hear his response to the noble Lord, Lord Tyler, which might represent a way forward. The right reverend Prelate the Bishop of Winchester said at the end of his remarks that he will reflect on the arguments laid before your Lordships’ House by the noble Lord, Lord Deben, earlier on, and the Church of England Synod would be a good place for this proposal to be taken to But the right reverend Prelate also based some of his argument on the constitutional question. I would simply refer him to the Library Note, which states: “Under the Church of England Assembly (Powers) Act 1919, Parliament has a role scrutinising legislation which relates to the administration and organisation of the Church of England” Whether you look to the 1919 legislation or in this case the 1949 Marriage Act, which the noble Lord, Lord Deben, referred to in his remarks, Parliament has had a very clear role. Parliament itself has a right to have a view about these things and to consider measures of this kind. That this should now go to the synod before we reach Committee so that some of the points raised by the right reverend Prelate earlier on might be considered, is a perfectly proper point of view to put. I hope that the right reverend Prelate will have a chance to reflect on what I thought were some terrific points made by the noble Lord, Lord Deben, in his introductory remarks The central point about this Bill is that it lays no mandatory duty on the Church of England but is an empowering measure that simply removes an accidental statutory impediment to the enablement of clergy from other denominations to bring together couples in holy matrimony in a parish church. As the noble Lord reminded us, that does not force anyone to do this, but simply allows them to, and with the same restrictions about what is already permitted for funerals, baptisms and communion services My own parents married at the time of the passage of the 1949 legislation. That legislation did not require Anglican parish churches to register for marriages. They were deemed to be licensed; but the law states that marriage was to be, as the noble Lord mentioned earlier on, “according to the rites and ceremonies of the Church of England” That was never intended as a restriction, but in an era when ecumenical relationships were much less common, it was simply a statement of fact. It was the reality. When in those unecumenical times marriages were made across the divide, they were often the source of bitterness, rejection and hostility. My own parents experienced that. They were Anglican and Catholic—a demobbed Eighth Army Desert Rat marrying an Irish-speaking girl from Mayo. My mother’s younger sister married a Northern Ireland Protestant and both marriages took place in a Catholic Church Sixty years later, echoing something that the noble Lord, Lord Deben, said at the beginning of his remarks about funerals, my Anglican father was buried from that same Catholic Church where he had married after a funeral led by my late father-in-law, who was an Anglican priest of some 60 years standing. He spent some of his ministry in the right reverend Prelate’s diocese. I was delighted that, far from there being a restriction on my father-in-law conducting the service, the parish priest was hugely supportive and generous to a fault. It also represented a sea-change in attitudes. I might add to the noble Lord, Lord Robathan, that I am godfather to children from other denominations but, equally, my own children, who were baptised as Catholics, have godparents from other denominations. That was not an impediment. My uncle told me, after the funeral of my father, that he would have never believed the progress and change in relationships that had occurred in the intervening years. He said that he had felt a great healing Thirty years ago, I too married across the denominational divide and, for good measure, I married a vicar’s daughter with eight ordained Anglican clergy in the family—they still have not made me perfect either. But we would be foolish to forget how painful former times could be. In the 1950s, when as young people couples like my parents married, some bishops even refused to say the Lord’s Prayer together or to stand alongside one another at the war memorial. Sectarianism rather than ecumenism was the order of the day. In Liverpool, as late as 1958, the city’s Catholic Archbishop John Heenan, later Cardinal Heenan, was literally stoned by a sectarian mob while making a pastoral visit to a sick parishioner in the Scotland Road parish of St Anthony’s I went to Liverpool as a student and later had the honour to serve in that city for 18 years as a constituency MP. It was mired in sectarianism. I was shocked to witness at meetings of the city council, to which I had been elected, hostile opposition to minor improvements to Catholic primary schools on purely sectarian grounds. But that is not the end of the story. Thanks to Archbishop Derek Worlock, Bishop Sheppard—later Lord Sheppard —and successive moderators of the Merseyside free churches, I was privileged to see what is known as the “Mersey Miracle” and the coming together of Christians from different backgrounds, who took as their maxim “What we can do together, let us do it, and let us ensure that what separates us does not turn us into enemies”. The fruits of this practical ecumenism were vividly exemplified by the visit to Liverpool, in 1982, of Pope John Paul II, witnessed by 1 million people. Movingly, the Pope’s first steps were taken in that city at the Anglican cathedral, before travelling along the well-named Hope Street to the Catholic cathedral of Christ the King The Bill from the noble Lord, Lord Deben, has been written to reflect that spirit of enabling ecumenism to continue and to deepen. It will empower but not require the parochial church council, the incumbent and the diocesan bishop to allow other Christian marriages to be celebrated. Despite what the right reverend Prelate said about how this could become bureaucratic, in reality it would become based on good will and precedent. I believe that, once those precedents have been established, it would happen very easily and smoothly where people wanted it to happen. That would force them to face the question that the noble Lord put to the House about whether we really are serious about how far we want this ecumenical journey to go. It might also enable a sometimes sceptical secular world to echo the observations of the pagans of Rome, who said to their own bewilderment about the early Christians, “See how they love one another” That brings me to my second reason for supporting the noble Lord’s Bill. Probably the best £4 that two people who love one another can spend is on a marriage certificate. It is sometimes said that marriages are made in heaven but broken here on earth. According to the Office for National Statistics, around 42% of marriages end in divorce and around half of these divorces are expected to occur in the first 10 years of marriage. To Christians, a church wedding may not guarantee the durability of a marriage, but the solemnising of vows and the binding through the sacrament of holy matrimony does at least create a different narrative against which to live out and to attempt to lead your married life through all its ups and downs. We should do everything we can to encourage this sacrament to be taken seriously, not least because we know what the negative consequences are when a marriage ends. The Bill simply opens up the prospect of more church marriages and, in a modest way, for Parliament and the Church to say that this can contribute to stable families, stable communities and a stable society To conclude, the Church of England is already ecumenically generous—I so agree with what the noble Lord, Lord Deben, said about this—in allowing its churches to be used by other denominations. It is evident here at Westminster in the use of our parliamentary crypt Chapel of St Mary Undercroft. The noble Lord’s Bill involves no compulsion; it merely removes an impediment for the principle to be extended. Some say the Bill is not necessary, as another denomination can have permission to use a church as long as the service is taken by an Anglican clergyman, but there is no such restriction on any other service, yet this is the service when it is most likely that the happy couple would like to be married by someone who matters to them spiritually The three key reasons for giving the Bill a Second Reading are: first, that it is necessary to remove a legal impediment; secondly, that it gives the Church of England the power to add marriage to existing provisions but no direction; and, thirdly, that it enshrines all the safeguards the Church of England has already included in its canon law to cover other services. Even if, at the conclusion of our debate, there is not a peal of bells welcoming the noble Lord’s Bill, I hope that we will give it a ringing endorsement and a Second Reading.
