ParlaMint-GB_2015-02-27-commons.u1	I beg to move, That the House sit in private Question put forthwith (Standing Order No. 163).
ParlaMint-GB_2015-02-27-commons.u2	I beg to move, That the clause be read a Second time.
ParlaMint-GB_2015-02-27-commons.u3	With this it will be convenient to discuss new clause 2—Information for the persons making the complaint— ‘The Health Service Commissioner shall make available to the complainant, at the outset of an investigation, an estimate of the period within which the investigation is likely to be completed.’
ParlaMint-GB_2015-02-27-commons.u4	May I begin by congratulating my right hon. Friend the Member for Haltemprice and Howden (Mr Davis) on getting the Bill through Second Reading without any discussion whatsoever, then through Committee without any amendment and now on Report? On Tuesday, in the Committee deliberating on the National Health Service (Amended Duties and Powers) Bill, during which hon. Members had the misfortune of having to listen to me speak for a little longer than normal, I said that in 28 years in this House I have never had a private Member’s Bill, so my right hon. Friend’s achievement is considerable.
ParlaMint-GB_2015-02-27-commons.u5	As one of those who had the good fortune of being able to listen to my right hon. Friend’s speech on Tuesday, I can assure him that it was no difficulty at all—it was very illuminating.
ParlaMint-GB_2015-02-27-commons.u6	Given that I spoke for four and a quarter hours, my hon. Friend is very kind to make that generous observation, but I am not sure that I share his view Over my political life I have often been asked what I would choose for a private Member’s Bill. In my early political life I would usually say something frightfully worthy, such as bringing in a Bill to improve the national health service. In my later political life, as my cynicism has grown, I have said that I would bring in a private Member’s Bill to abolish private Members’ Bills.
ParlaMint-GB_2015-02-27-commons.u7	The guidance that I took in determining which Bill I would present to the House, given that I was No. 19 in the batting order, was the guidance of my old friend Eric Forth, whose ghost still haunts these proceedings. Eric believed that private Members’ Bills should be essentially uncontroversial. He thought that the private Members process existed not to put controversial Bills through, but to allow things that were fairly obvious to be done. That was my guidance in choosing this Bill in this form, and I will come back to that later.
ParlaMint-GB_2015-02-27-commons.u8	Eric Forth was a friend both of my right hon. Friend and of mine. My understanding of his view was that all legislation was a bad thing, which is why, even when he was in government, he was in opposition, and would try to stop virtually everything. That caused some difficulties to me when I was the Opposition Chief Whip Every year I have put my name into the private Members’ Bill ballot and have dreaded the thought that it might, one of these days, come out. Luckily, it never has and now it never will. As my right hon. Friend says, there is a dilemma for someone who chooses a private Member’s Bill as to whether to choose something that is small and uncontroversial that Eric Forth might have allowed through, or large and making a great statement but bound to fail. It is rare indeed that a private Member’s Bill makes only a small change but in that small change he or she achieves something of great importance I suspect that my right hon. Friend’s Bill may be just such a Bill. I congratulate him on spotting so small a change that might be needed and then on bringing forward a measure that does something about it. I have read the proceedings of the Committee, which lasted for roughly half an hour. My right hon. Friend said that he was comparatively inexperienced in these matters, since the last Bill he piloted through the House of Commons was the Intelligence Services Bill in 1994. It is interesting and unusual to think of my right hon. Friend as a comparative novice at anything, but for a novice he seems to have done pretty well. Not many of us have our own legislative programme, so I congratulate him again In order to explain the purpose of my amendments, I need to start by setting out the purpose of my right hon. Friend’s the Bill in a way that, I hope, will not offend him and that will do justice to its importance. The effect of his Bill, as I understand it—he will put me right if I am wrong—is to ensure that if a complaint has not been resolved within 12 months of its receipt, the health service ombudsman will send the complainant a statement explaining why there has been a delay.
ParlaMint-GB_2015-02-27-commons.u9	My right hon. Friend has just referred to the ombudsman. Does he agree that one of the problems with legislation is that it is very often unintelligible to people outside this House? The Bill is called the Health Service Commissioner for England (Complaint Handling) Bill. Does he not think it would be beneficial if it was referred to as the Health Service Ombudsman for England (Complaint Handling) Bill?
ParlaMint-GB_2015-02-27-commons.u10	I like my hon. Friend’s suggestion. In Committee on Tuesday, he and I discussed the value of having legislation that is comprehensible to the people whom it affects, and this Bill will affect everyone in the country. The laws we make should not be written in gobbledegook that is not comprehensible to the people who own and enforce the law and who have it enforced upon them. It would be an improvement if the legislation referred to an ombudsman, because that is what everybody calls them, so I hugely support my hon. Friend’s suggestion.
ParlaMint-GB_2015-02-27-commons.u11	I return to the Eric Forth principle. As I have said, Eric was a friend of mine. Indeed, I successfully nominated him for a knighthood, but he died before he could receive it. I took his views seriously and he believed in simplicity in these matters. The difficulty conjured up by the suggestion made by my hon. Friend the Member for Bury North (Mr Nuttall) is that a proposed law must be enforceable according to the terms of the law it seeks to amend. This Bill seeks to amend an Act about national health service commissioners, so if it referred to an ombudsman it would run into a problem of legal conflict. My hon. Friend makes a very good point, with which I agree—Eric Forth would have, too—but we had to compromise.
ParlaMint-GB_2015-02-27-commons.u12	My riposte to my right hon. Friend is that perhaps he could have promoted a slightly bigger Bill to amend the Acts that introduced the parliamentary ombudsman in 1967 and the health service ombudsman in 1973 and combined them in a way that made them accessible to the public, which, as my hon. Friend the Member for Bury North (Mr Nuttall) has said, they currently are not. They see the words “commissioner” and “ombudsman” and wonder where the two meet.
ParlaMint-GB_2015-02-27-commons.u13	That runs into another Eric Forth rule, which is that that would cost money.
ParlaMint-GB_2015-02-27-commons.u14	My right hon. Friend has got me there, so I will subside The Bill would give a complainant to the ombudsman a statement of explanation if there was a delay. That seems a very small suggestion, but the humanisation that such a statement would bring to a process that would inevitably be a little intimidating for complainants, however well the health service ombudsman does her work, may well make the difference to whether a complainant will trust the process or not. If a complaints process is not trusted by complainants, we might as well not have the complaints process in the first place The Bill would also require the ombudsman to include in her annual report details of how long investigations of NHS complaints have taken to be concluded, how many of those investigations have not been resolved within a 12-month period following receipt of the complaint by the ombudsman, and the action being taken with a view to concluding all investigations within a 12-month period. That process of openness would lead to an improvement of trust between those who use the NHS and have the misfortune of needing to complain about it and the ombudsman given the task of looking into such complaints. As a by-product, the Bill might also act as a further spur to the national health service commissioner to ensure that even more cases are concluded within a 12-month period. As I understand it, about 99% of the cases she takes on are concluded within a 12-month period My new clauses are probing amendments. I do not intend to go to the wall or to die in a ditch for them, if that is an appropriate juxtaposition of metaphors. They state that the “Health Service Commissioner shall make available to anyone considering making a complaint, an estimate of the period within which investigations are to be completed” and that once a complaint has been made the “Health Service Commissioner shall make available to the complainant, at the outset of an investigation, an estimate of the period within which the investigation is likely to be completed.” I have tabled the new clauses simply in the interests of transparency. It might be thought reasonable for people to be aware of how long they would have to wait for a response if they complained to the ombudsman.
ParlaMint-GB_2015-02-27-commons.u15	My right hon. Friend makes a very good point. In a perfect world, one would want to be able to tell every complainant to the health service ombudsman that they would get an answer within three months. However, in the case which initially led to such concerns the errors were manyfold in an area—it was sepsis, which I shall talk about on Third Reading—in which it took some time to develop an understanding of treatment and of the best approach. It is very difficult to know in advance how long it will take to resolve a problem, which may sometimes be medical as well as managerial, with a proper answer.
ParlaMint-GB_2015-02-27-commons.u16	I have to say that I find that argument extremely persuasive. However, it is reasonable for the ombudsman to give some idea of how long an investigation is expected to take. After all, it is only an estimate, not a hard and fast guarantee. I accept that the estimate may turn out to be woefully wrong—I think my right hon. Friend was referring to the Sam Morrish case, a huge tragedy that was highlighted in Committee by all parties—but I am just suggesting that it would be helpful to give an estimate. People may be put off complaining if they do not know what will happen, and they will be less frustrated if they are kept informed during an investigation.
ParlaMint-GB_2015-02-27-commons.u17	My right hon. Friend says that complainants will be less concerned if they are kept informed during the progress of an investigation, but on my reading of his new clause 2, there is no requirement on the commissioner to keep them informed, merely to give them an estimate of the period of the investigation at its outset.
ParlaMint-GB_2015-02-27-commons.u18	My hon. Friend has spotted a deep lacuna in my new clause, of which I am conscious. He is quite right, as I would expect of someone with his forensic skills. There is not, however, any need for legislation, in the way my hon. Friend suggests, to require the ombudsman to keep the complainant informed because, as far as I can tell, the ombudsman already does her best to keep complainants informed. In relation to the changes that the ombudsman is making in modernising the ombudsman process, which we will no doubt discuss on Third Reading, she is going out of her way to start a public consultation to ensure that the changes are as friendly to the public as possible.
ParlaMint-GB_2015-02-27-commons.u19	Eric Forth’s principle No. 4 is that laws should be minimalist: there should be the absolute minimum amount of law that there can possibly be to get the outcome one wants. In considering the Bill, I was concerned that we must not tell the ombudsman how to manage her business, as it were, particularly since the current ombudsman is doing an extremely good job of accelerating the process, dealing with more cases and dealing with them more quickly. I wondered for a while whether even this Bill was too much in terms of putting a force up behind it, but then I thought that there is not always the same ombudsman with the same energy level. The Bill will give a guarantee to the public and is therefore worth while. I was careful not to give instructions to do it in this way, that way or the other way. It is much better to leave good management to the service, but to put a public guarantee into law.
ParlaMint-GB_2015-02-27-commons.u20	It is worrying that my right hon. Friend is persuading me that I am wrong. It is very worrying, while one is on one’s feet, to be persuaded out of one’s own arguments. If he will allow me to cling on for just a few moments, I will get to the dregs of my argument The ombudsman might be the only champion of someone who is already vulnerable because they have been incapacitated to one extent or another by their health needs. Therefore, it would be a good idea to encourage the ombudsman to give as much information as possible to the complainant at the outset of the complaint, although my right hon. Friend is right, given his fourth or fifth Eric Forth principle on keeping laws as minimalist as possible, that we possibly should not put it into law As I said, 99% of complaints are completed within 12 months—that is, those that are taken on by the ombudsman. We will have to come back on Third Reading to whether the ombudsman takes on enough of the complaints that are made to them, because that issue arose in the evidence sessions of the inquiry of the Public Administration Committee into the ombudsman. If my new clauses were accepted and the ombudsman had to make an estimate of how long it would take, it is quite possible that they would simply have to tick a box to say that it would take less than 12 months. Therefore, the new clauses might, as my right hon. Friend might say, add very little but a formality. As I have said, I do not think that this reflects the way in which the health service commissioner operates. If there is an issue, she does as much as she can to keep people informed about what is happening The new clauses are probing amendments and, as I say, I will not die in the ditch for them. However, I look forward to hearing the views of my right hon. Friend the Member for Haltemprice and Howden, my hon. Friend the Minister and the Opposition spokesman about this minor attempt to be helpful.
