ParlaMint-GB_2015-12-04-commons.u1	I beg to move, That the House sit in private Question put forthwith (Standing Order No. 163).
ParlaMint-GB_2015-12-04-commons.u2	I beg to move, That the Bill be now read a Second time As elected representatives in this House, it is our responsibility to take forward legislation that protects the most vulnerable from all types of harm. I am privileged to promote this Bill, which will help individuals and businesses recover from the devastating impact on communities of widespread public disorder. I am the promoter of the Bill, but much of the work has been done by others. I owe a particular debt of thanks to officers and staff of this House and of the Home Office for the advice, help, support and industry that they have provided in preparing the Bill There are many features of this place that come as a surprise to newly elected Members, even those of us who took a close interest in Parliament before getting here. One of the most surprising of all is just how popular a Member who appears high up in the ballot for private Members’ Bills suddenly becomes. Unfortunately, that popularity dissipates almost as quickly as it arrived once the Member has settled on a Bill. Nevertheless, I am pleased to bring forward this Bill today As I am sure all Members will agree, this is a Bill that I hope will never be used, but it is better to prepare now by ensuring that we have the necessary rules, procedures and structures in place during a time of calm, rather than putting off such thoughts until those measures are urgently needed This issue has a particular personal relevance to me. Growing up as the son of a west midlands policeman, I was all too aware from a young age of the impact of riots on local communities and on those responsible for policing them. I remember as a nine-year-old child waking up to see the horrific footage of the Handsworth riots in September 1985. It brought home in the most literal sense the terrible reality of a breakdown in law and order. My father, as a mounted policeman, had been called into work early in response to the violence and destruction that I was then seeing on television. I remember coming home from school just as my father returned home earlier than usual, his hand bandaged and his face pale. I am sure that Members can imagine what was going through my mother’s mind As we are among friends—and, perhaps more importantly, as my father is not a regular follower of BBC Parliament—I might be safe in letting Members into his little secret. That day, he had gone into the police stables to prepare his horse, where I am afraid he was bitten by a squirrel. Fortunately, that was the most serious injury my father suffered in those riots Tragically, others were not so lucky: two brothers were brutally burned to death in the post office they ran. Two other people were unaccounted for and a further 35 were injured. More than 1,500 police officers were drafted into the area, potentially put in the line of danger. They each have families who I am sure are every bit as proud of them as I remain of my father. About 45 shops were looted and burned, and lasting damage was done to community cohesion in Handsworth. Other riots across the country that autumn, including the Broadwater Farm riot in London, showed similar violence and destruction Twenty-six years later, a series of riots, starting in Tottenham and spreading across much of London and then into other major cities, were a horrible reminder of just how fragile public order can be. The August 2011 riots left many vulnerable communities counting the cost of some of the worst and most destructive public disorder in a generation. The human and social cost was immeasurable, nowhere more so than in the senseless murder of Haroon Jahan, Shahzad Ali and Abdul Musavir, who were deliberately run down while trying to protect their community in the Winson Green area of Birmingham Here in Greater London we saw horrific images of the Reeves furniture store burning down. This family run business had been built up over years, but it was destroyed in minutes. The image was broadcast all over the world and it continues to haunt us. Elsewhere around the country, large cities experienced similar destruction, with businesses destroyed, property wrecked and dreams up in flames In the heat of the riots, many people were surprised to learn that, under current legislation, responsibility for compensating victims of riots lies entirely with local police forces. The legislation dates back to 1886 and is basically a consolidation of legislation going back to the 18th century, so the word “current” does not seem entirely appropriate. The system requires polices forces—the Metropolitan Police Authority, the common council of the City of London and, elsewhere in the country, police and crime commissioners—to pay out millions of pounds in riot compensation, much of it to large businesses and insurance companies, while lacking the flexibility to respond effectively and promptly to the needs of individuals and small businesses that need their payments, and need them quickly. Against a background of tight budget constraints, potentially limitless liability for police forces is unfair and unsustainable.
ParlaMint-GB_2015-12-04-commons.u3	I thank my hon. Friend for promoting the Bill. If the police are to be held liable for the acts of third parties—of rioters—would it not be fairer for the victims to have to prove that the police were themselves at fault before compensation could be paid out of the public purse?
ParlaMint-GB_2015-12-04-commons.u4	I will respond to my hon. Friend’s intervention in more detail later in my speech. Although I have some sympathy for that argument—the causes of riots can be extremely varied and in many cases they are not the direct result of police action or inaction—I think there are both principled and practical reasons to maintain the current principle of strict liability. One such practical reason is that, if someone is unable to afford insurance and has suffered losses during a riot, it is very unlikely that they would have the means to bring a court action to establish that the police had been negligent and thereby claim damages through the usual legal means.
ParlaMint-GB_2015-12-04-commons.u5	My constituency was a victim of the riots in 2011, when there were huge disturbances on the streets of Enfield. For some businesses in my constituency and in Enfield North the problem was not just liability and who would pay, but the time it took to be paid. The delay was an ongoing victimisation of those businesses and their prospects of continuing. Will the Bill help to improve the decision-making process and lead to such businesses getting the money they deserve?
ParlaMint-GB_2015-12-04-commons.u6	A key purpose of the Bill is indeed to have a more effective, streamlined and clear mechanism or procedure to enable those businesses and individuals to get the compensation they need within the timeframe necessary to make a difference in getting their lives and businesses back on track In 2011, the coalition Government responded to the riots by agreeing to cover the costs incurred by the police in compensating homeowners and businesses under the Riot (Damages) Act 1886. That was one part of the package that the then Government announced in response to the scale of the destruction suffered in some of our major cities. I am sure that Members on both sides of the Chamber recognise the importance of the creation of a high street recovery fund immediately after those riots, which helped local communities to decide for themselves on measures, specific and relevant to their area, that would get their high streets back on their feet. However, we cannot necessarily rely on future Governments choosing to underwrite police force liabilities or investing additional moneys in rebuilding areas hit by riots.
ParlaMint-GB_2015-12-04-commons.u7	This issue is not just about the riots of 2011; many other localised riots have led to very extensive and expensive bills for local police forces. For instance, the total bill for the rioting in Bradford in 2001 amounted to £450 million, even though it was a localised riot.
ParlaMint-GB_2015-12-04-commons.u8	I fully agree. In the region we both know best, the west midlands, there were the Handsworth riots in 1985, which I have already mentioned, and of course the riots in the same part of Birmingham in 1981 and 1991. Such localised riots have a huge impact on the local community, and cause huge cost to businesses and individuals directly affected We need to act now to build a new compensation system that works. As my hon. Friend the Member for Enfield, Southgate (Mr Burrowes) said, that system needs to be fair to the people and businesses affected by riots and fair to the taxpayers who, ultimately, will always foot the bill In the wake of the 2011 riots, work was conducted by the independent Riots Communities and Victims Panel, which looked at both the root causes of the disturbances and the prevention of future riots. Other studies were conducted specifically to examine the response of the police. Although the Government have done a lot of valuable work on the causes and the immediate responses to the riots, now that we have had time to reflect on and learn from those terrible events, it is right and necessary to ensure that the current legislation is updated to make it fit for the 21st century and to enable the victims of riots to be adequately compensated Recognising criticisms of the limitations of the 1886 Act, the Home Office undertook an internal review, and my right hon. Friend the Home Secretary then commissioned a full, independent review of the legislation. The reviewer, Neil Kinghan, spent months collecting evidence from riot victims, the police, insurers, loss adjusters and many others before publishing his conclusions. He made recommendations concerning a number of areas of the existing framework. Many of those recommendations are brought forward in the Bill Neil Kinghan accepted that there remains a need for legislation that provides for riot compensation to victims, but that the existing legislation is simply not good enough. Fiddling around the edges of the legislation would not be enough to make it work for the 21st century. We need to repeal the 1886 Act and replace it with new legislation that reflects the world as it is now, rather than the world as it was in the 1880s. The Bill seeks to make that change by updating the legislation and modernising the compensation system, making it fit for purpose in today’s world This is not the first time that changes to the Riot (Damages) Act have been considered. Under the last Labour Government, there was a public consultation on full repeal of the Act, but in the end, no changes were made. I do not believe that simply repealing the 1886 Act is the answer. While there is a superficial attraction in removing the strict liability that police forces have for damage to property suffered during a riot, there is general acceptance that there are principled and practical reasons for its retention Neil Kinghan’s review agreed that the first duty of the police is to maintain law and order. When that law and order breaks down, resulting in a riot, it is right for the police to be held to account and to pay appropriate compensation. On a practical level, strict liability provides simplicity for the victims of riots and a clear framework for the police. Requiring victims to demonstrate negligence or other direct fault would not be equitable in the circumstances. It would require evidence that is often extremely difficult to collect in the immediate aftermath of a riot and would inevitably lead to increased conflict between local police forces and the communities that are hit by rioting The 2011 riots underlined the importance of maintaining this historic protection for the public, as it provided a number of people with a vital means of support when they needed it most. It is right that people are provided with the financial means to repair, renew and recover so that they have the confidence to return to their roles at the heart of our communities The independent review found near consensus in favour of retaining the police’s strict liability—a finding backed by the report of the London Assembly’s budget and performance committee on the aftermath of the riots. It is right that we protect communities from such shattering losses by doing what we can to help them back on their feet. However, what cannot be right are the lengthy bureaucratic delays suffered by those who need our help, to which my hon. Friend the Member for Enfield, Southgate referred, and the idea that the country has a bottomless purse to draw from to pay for damage caused by criminals The Bill makes much-needed changes to address those concerns, while still supporting households and businesses affected by rioting. Although, as I have said, I accept the arguments for retaining the principle of police liability for riot damages, I do not accept that we can continue with limitless liability. Whether through police budgets or central Government, the public purse cannot be expected to pick up costs that are the reasonable responsibility of private insurance The Bill proposes to end the unlimited compensation afforded through the 1886 Act. Instead, it will set a cash cap, set at the appropriate level of £1 million, on each individual claim. The Government determined in their early review that if such a cap were in place in 2011, 99% of the claims made after the riots would have been compensated in full, but the limit would have saved the public purse tens of millions of pounds in compensation for the very largest claims As prudent homeowners, most people hold some form of insurance for their property. The same is true of most business owners. In the most recent cases, more than 80% of the compensation has been paid as reimbursement to insurance companies. Despite that, measures to cap compensation have been supported in principle by their largest representative body, the Association of British Insurers.
ParlaMint-GB_2015-12-04-commons.u9	Clearly, property values will differ throughout the country, and many members of the public do not read the fine print in insurance documentation. What is to stop insurance companies excluding riot from their cover? If that does happen, what will happen to those who suffer losses greater than the ones mentioned in my hon. Friend’s Bill?
ParlaMint-GB_2015-12-04-commons.u10	Of course we recognise the difference in property values around the country, but we have to accept that basic responsibility for buildings insurance, and indeed contents insurance, needs to be with private insurers. I would certainly hope that we can work together with the insurance industry to make sure that there is a fair response so that the premiums that most people believe they are paying to cover them for damage, however it is caused, really do cover them These new provisions are not just about saving money; they are also about improving and modernising the claims process. The short timescales in the old Act for submitting and evidencing a claim were not feasible for many potential claimants. The original 14-day period was extended to 42 days under the Government’s emergency amendment for the 2011 riots. Those riots demonstrated that the period was not long enough in certain cases. Many homes and places of business were inaccessible because they were designated crime scenes. In a number of claims, full details could not be provided because of a dependency on external processes as seemingly unrelated as planning permission The Bill will allow regulations to be made to extend those periods. Initially, a claimant need only lodge notice of a claim 42 days after the incident. By lodging notice of a claim, they will then have another 90 days to gather the evidence to substantiate the quantity and nature of the losses. That means that riot victims can focus on their most immediate needs in the shortest term and worry about paperwork further down the line when they are in a better position to deal with it Regulations to the Bill will change the way that compensation is calculated from the old-for-old replacement payments system, based on the current value of property, as depreciated, to a new-for-old system to allow people in the majority of circumstances to replace their property in full. That will considerably ease the decision-making process.
ParlaMint-GB_2015-12-04-commons.u11	Does the hon. Gentleman accept that the areas that experience riots are often the most deprived in our country? In those communities, increasingly, particularly in London—in the constituency of my hon. Friend the Member for Croydon North (Mr Reed), and certainly in mine—many constituents speak English as a second language. I can think of a constituent who had a heart attack after the riots. Forty-two days is still a very short time after experiencing shock of this kind.
