ParlaMint-GB_2015-12-11-lords.u1	That the order of commitment be discharged.
ParlaMint-GB_2015-12-11-lords.u2	My Lords, I understand that no amendments have been set down for the Bill and no noble Lord has indicated a wish to move a manuscript amendment or speak in Committee. Unless, therefore, any noble Lord objects, I beg to move that the order of commitment be discharged.
ParlaMint-GB_2015-12-11-lords.u3	That the order of commitment be discharged.
ParlaMint-GB_2015-12-11-lords.u4	My Lords, I understand that no amendments have been set down to the Bill and that no noble Lord has indicated a wish to move a manuscript amendment or to speak in Committee. Unless, therefore, any noble Lord objects, I beg to move that the order of commitment be discharged.
ParlaMint-GB_2015-12-11-lords.u5	My Lords, it is a great privilege to have my fifth online safety Bill in Committee, and I thank all noble Lords who have supported me along the considerably long way. Most of the amendments I have tabled to be debated today are in response to the very helpful comments made on the Bill by the Delegated Powers and Regulatory Reform Committee in its fifth report of the Session, published on 20 July. Your Lordships will know that the purpose of Clause 1 is to provide protection for children and young people from adult content and to provide parents with the tools to do that. I included Clause 1(1)(d) in the Bill to future-proof it for the inevitable growth in the services and devices that will come on to the market and which we do not yet have any concept of. Just to illustrate my point, in November, Ofcom published its annual report on children’s media use, which stated that over half of three to four year-olds and three-quarters of 12 to 15 year-olds use a tablet in 2015 and that tablets are now the device most often used for going online among all age groups except 12 to 15. In its equivalent report from 2010, there was no mention at all of the word tablet. Ofcom also highlighted the challenge facing parents in its latest report, saying: “The move towards smaller screens makes supervision more difficult for parents, and the proliferation of devices increases the need for parents to keep up to date with technology” The world of online access and devices is moving rapidly, and legislation needs to be able to accommodate those changes The Delegated Powers Committee raised two concerns about the way in which the future-proofing provisions were framed. The first was that the defence open to internet service providers and mobile phone operators in Clause 1(5) would not be open to any future, additional category of provider. My Amendment 1 ensures that the defence would be made available. Secondly, the committee was concerned about who would be considered a “provider” or “operator” in the context of the Bill’s future-proofing provision. Amendment 2 defines a provider or operator for the purpose of Clause 1(1)(d) of the Bill as a provider of adult content through a medium other than an ISP or MPO As with future provision, it is possible in principle that no new technology will develop for relaying adult content beyond ISPs and MPOs, in which case this part of the Bill will remain latent. But in truth, this would seem unlikely, judging by what has happened so far. I should explain that although the Delegated Powers Committee provides a critique of all Bills with delegated powers, I was informed by the chair that it does not provide advice about how to respond. In developing all my amendments in response to the committee, therefore, I have sought the advice of the noble and learned Lord, Lord Mackay, who sadly cannot be here today. His advice was, first, to keep the future-proofing provision and, secondly, that both these amendments address the concerns of the committee as set out in its report. I beg to move.
ParlaMint-GB_2015-12-11-lords.u6	My Lords, I will be brief. I speak in support of Amendments 1 and 2, to which I have put my name. I congratulate the noble Baroness, Lady Howe, on getting to Committee with her important and timely Bill. She was very wise to include a future-proofing provision in the Bill, and the noble and learned Lord, Lord Mackay, has been very wise to advise her to keep it in These two amendments address the two points raised by the Delegated Powers and Regulatory Reform Committee report with great clarity. Amendment 1 extends to future forms of providers the same defence currently afforded to internet service providers and mobile phone operators, thereby upholding even-handedness. Amendment 2 tightens the definition of provider to make it absolutely clear that in this context, we are talking about the provision of adult content in an online context by some actor other than an internet service provider or mobile phone operator In acknowledging the rapidly moving world of technology, the noble Baroness should be applauded for her farsightedness, as the amendments further strengthen the Bill, and I very much hope that the Committee will support them.
ParlaMint-GB_2015-12-11-lords.u7	My Lords, at Second Reading, I picked up on “duty”, which is the first word in the clause, and suggested that there is nothing more important than the future well-being of our children and the nurturing and developing of their talents. The clause should be very much on the script of the National Security Strategy Committee, because it is up to government to ensure that the points made by my noble friend in moving the amendment, such as evolving technology, are taken into account continually I am sure that, in that connection, the whole House, not just this Committee, admires the determination of my noble friend in pursuing this issue over many years, not least following her recent sadness.
ParlaMint-GB_2015-12-11-lords.u8	My Lords, I, too, congratulate the noble Baroness, Lady Howe, on getting to this stage. The fact that it has taken her five years demonstrates why the amendments and the clause are so important. If it takes five years—of course, the Bill still has some way to go before it becomes legislation—that gives us some indication of how long it will take to change subsequently. Therefore, it is important that whatever legislation is passed on technology matters, not just on this important issue of online safety of children but in any area, is future proofed. As a Parliament, we are very good at reacting to a crisis which is occurring now or occurred a year or 18 months ago. Our parliamentary processes necessarily take time. On something like this, where it has been necessary for a Private Member to act, it clearly takes even longer Unless we future-proof to recognise the rapidly changing nature of technology, all the provisions that I hope we will agree to here today will be of no value. Technology changes much too rapidly, and that is why we need to future-proof legislation. When the Minister gives what I trust will be a positive response to the Bill, she must encourage her colleagues in government departments, when they draft legislation that relates to technology, to include future-proofing provisions.
ParlaMint-GB_2015-12-11-lords.u9	My Lords, I shall be brief. First, I, too, congratulate the noble Baroness, Lady Howe, on her efforts: she has been amazingly courageous and tenacious to get the Bill as far as this. The noble Lord said that it has taken five years. How many young children have had their lives really altered for the worse in those five years simply because we in both Houses of Parliament have not managed to give them the protection they deserve?
ParlaMint-GB_2015-12-11-lords.u10	My Lords, in the film “Groundhog Day”, progress cannot be made unless the principal character comes across a moment of self-revelation. I do not think that is necessary in the case of the Bill. As we have heard, five years is a long time, but every year the noble Baroness has brought forward a better and better Bill. This time, we have the additional support of several noble Lords who have not only added their names to amendments but fervently support the Bill, as we have heard, and the Delegated Powers Committee has kindly assisted and provided some amendments. Perhaps that is the point at which Groundhog Day becomes reality and we can make progress. We wish the Bill all the best.
ParlaMint-GB_2015-12-11-lords.u11	My Lords, I recognise the noble Baroness, Lady Howe, for her unwavering commitment to this agenda, and all those who have spoken and contributed to the Bill thus far. As you know, the Government are absolutely committed to the protection of children online, and we must acknowledge the significant and hugely encouraging progress that has been made in the UK on a self-regulatory and voluntary basis. Without legislation, the UK Council for Child Internet Safety has played a vital role in this process. This multi-stakeholder approach to internet safety draws together government, charities, and the internet and mobile industries, and provides a highly effective approach to internet safety that is the envy of our international equivalents This, in and of itself, is a future-proofing strategy. The Family Online Safety Institute, an international organisation based in Washington DC that works globally to drive up internet safety, says that the UK is, “at the forefront of online safety and best practice”, and that UKCIS is at the core of that The first part of this Bill, to which it is proposed to add Amendments 1 and 2, would set out additional duties on internet service providers, mobile phone operators, Ofcom and Ministers in respect of providing a safe internet service for children and information about online safety. This is beyond the self-regulatory regime of family-friendly filters already voluntarily applied by all major ISPs and mobile phone operators in the UK. However well intentioned the drafting of such future-proofing clauses may be, this is, as has been said, a constantly moving target. We have no reason to believe that the successful, voluntary approach led by industry will change in future. Nor do we expect that such an approach would be incapable of addressing these issues as they come up or the arrival of new operators, services and platforms Ofcom regularly publishes reports on internet safety measures and a forthcoming report will address the noble Baroness’s concerns. We feel that there is no need to set out arrangements in statute to require this at further intervals because they already do it voluntarily. Furthermore, all mobile phone operators provide filters as default-on, with age-verification controls in place before any changes can be made or filters removed. These filters are underpinned by an independent framework provided by the BBFC to define unsuitable content for under-18s, based on its classification guidelines. However, as my noble friends and colleagues have mentioned, there is always more that can be done, and no filters or technological tools will be 100% successful all the time. It is crucial that parents continue to engage with their children’s internet experiences and ensure that they build awareness of and resilience to things they see on the internet which may upset them or cause them harm. It is also vital that we, as the Government, continue our effective and productive relationships with industry and Ofcom to consider how our world-class internet safety protections can be made even better. Great progress has been achieved in the UK through voluntary activity, with industry working together with Government and the charity sector in an effective and collaborative way. We have no reason to expect this effective partnership to change.
