ParlaMint-GB_2017-09-08-lords.u1	That the Bill be now read a second time.
ParlaMint-GB_2017-09-08-lords.u2	My Lords, just a year ago I introduced a Bill with exactly the same objective as the one I am proposing today. Regrettably, despite very strong support from all parts of the House, the Bill was blocked in Committee by a small number of Peers. My motive in reintroducing the Bill is unchanged: the by-election system, which provides for the continuation—effectively in perpetuity—of a block of 90 hereditary Peers is absurd and indefensible. In the 12 months since the last Bill, there have been significant developments that make the case for scrapping the by-elections even more compelling Let us remind ourselves briefly how the system works. There are 90 elected places. If a vacancy occurs among the 15 hereditary Peers who were originally officeholders—that is, Deputy Speakers—the electorate consist of all 803 Members of the House. The remaining 75 hereditaries are distributed among three party groups and the Cross-Benchers. The electorate for each by-election then consist of the hereditary Peers who are members of the group where the vacancy has arisen. As a reminder, the numbers are as follows: for a Conservative vacancy, 48 hereditary Peers can vote; for a Cross-Bencher, it is 30; for a Lib Dem, three; and for Labour, three Try explaining that nonsense to members of the public as a mechanism for recruiting people to serve in Parliament; I guarantee their jaws will hit the floor. It makes the d’Hondt system look simple, and given that the system is so manifestly absurd, is it any wonder that it results in the most absurd by-elections? I cannot resist repeating the example I gave last year of a Lib Dem by-election following the death of Eric Lubbock—the first person, I might add, who raised the issue of trying to scrap these by-elections. It was held in April 2016, when the number of candidates was 11 and the electorate was three. By way of comparison, before the Great Reform Act 1832, even Old Sarum had an electorate of seven. In comparison with the Lib Dem by-election, that is a metropolis I can hear Members asking: “But your Bill failed last year, so why waste parliamentary time again?”.
ParlaMint-GB_2017-09-08-lords.u3	Hear, hear!
ParlaMint-GB_2017-09-08-lords.u4	Well, I will give the answer—and I hope that Members will give their answers during their speeches as well. Even in the 12 months since the last Bill, there have been a number of developments, all of which make the case for ending the by-elections stronger, and the case for retaining them inexorably weaker—so much so that any neutral observer would surely conclude that it is not so much a matter of whether the by-elections will cease, but when The debates on the Bill last year, and the discussions that surrounded them, have shown beyond doubt that there is overwhelming support in this House for the reform that I am proposing. Support has come from Labour, Liberal Democrats, Conservatives and Cross-Benchers—including a very large number of hereditaries themselves, who have come to me and, understandably, find it difficult to speak on this subject. I would love to know what the actual numbers were among the hereditaries of those in favour and those against the change. When the opinion of the House was tested in Committee—of course, on a Friday, when Divisions are rare—the first vote on the principle of the Bill resulted in a defeat for its opponents by a majority of 93. There can be no reasonable doubt that the number of Members of this House who are resolutely opposed to this Bill is minuscule The weakness of the Bill’s opponents could not be better illustrated than by the tactics they employed in Committee. In the three months last year between Second Reading and Committee stage, just six amendments were tabled. Then, lo and behold, on the day before the debate, inspiration and creativity overwhelmed two Members of this House: the noble Lord, Lord Trefgarne, and the noble Earl, Lord Caithness, tabled 50 amendments overnight. My Lords, we all know what that is about: a tiny number of Members knowing they were in a hopeless minority in the House and knowing that they could not win by votes so they had better win by tricks. Fifty overnight amendments—if you are going to wreck a Bill, do it a bit more subtly This time, my appeal to anyone who is thinking of trying these tactics is to please think again. They do neither noble Lords’ nor the House’s reputation any good. They should win by the arguments and in the Division Lobbies, not by tricks. It is the opinion of the House that should prevail, not the opinion of one or two of its Members I also say to anyone who is thinking of wrecking the Bill this time to please think of the adverse publicity for our House that that will attract. I will give three examples from the media since then: “Hereditary Peers Set To Ambush Bill Aimed At Scrapping Their ‘Laughable' By-Elections” Another headline is: “‘An embarrassment to our politics!’ Fury as Lords prepare to elect new hereditary peer” Finally, we have: “Tory aristocrat joins Parliament for life by winning 143 votes in a ‘Blackadder’ by-election” I am the last person on the planet to argue that we should change a good policy because of some bad newspaper headlines, but it is noticeable that there is absolutely nobody, apart from a handful of people in this House, who is prepared to defend these by-elections. The argument for their continuation is friendless, and surely that is because simply there are no such good arguments. I challenge anyone today who is thinking of opposing my Bill to not give us a history lesson. Instead, come clean and explain to us, in 2017, what added value the by-elections provide to our parliamentary system. Tell us precisely why we continue to replace the 90 hereditary Peers. Tell us what the distinctive characteristics of the 198 people on the Register of Hereditary Peers are that mean that we need to provide them with a reserved place in our legislature? Once elected, what is special about their parliamentary talents that distinguishes them from other Members of the House? To make it personal, what is the justification for the heir of a hereditary Peer in this House having a one in 200 chance of becoming a member of the legislature while for everyone else in the country, that chance is something like one in 90,000? Tell us, here and now, 18 years after the House of Lords Act 1999, what it is about these by-elections that enhances and enriches our parliamentary democracy. If they cannot answer these questions, surely it is time to call it a day and stop playing King Canute There have been significant developments in the last 12 months that have strengthened the case for my Bill. Among them has been the evidence provided by yet more by-elections. For those of us in favour of scrapping them, the by-elections are the gift that keeps on giving. There have been two such elections this year. The first, on 21 March, was for a hereditary Peer to be elected by the whole House. The second, on 18 July, was for a Cross-Bench Peer, when only hereditary Cross-Benchers could vote. It is the first of these two by-elections that provides the richest vein for satire. This, remember, was an election for a place in our Parliament—or rather, a parliamentary by-election. The figure for the electorate was 803 and the number of votes cast was 436, meaning that the turnout was 43%. By way of comparison, it is worth noting that in the general election in June, the lowest turnout in all 650 constituencies was Glasgow North East, with 53%. The propensity to vote in a House of Lords by-election, where voters need only walk down the corridor from their offices and put a ballot paper in a box in the Committee room, is 10% lower than the parliamentary constituency with the lowest turnout. That, to me, provides pretty clear evidence that the majority of Members of this House feel no great attachment to the practice of re-electing hereditary Peers Then there was the little matter of the ballot itself. No fewer than 27 candidates put themselves forward, 19 of whom got fewer than 10 votes. Under the alternative vote system there were 25—yes, 25—rounds of balloting before the winner was declared. What is more, the same person led in all 25 ballots, so if the voting system had been first past the post, the same result would have been achieved with a lot less trouble. I just thought I would point that out. There was a 43% turnout, 27 candidates, 25 ballots, and only hereditaries could stand. In 1999 when the original Act was passed, surely no one could have intended that 18 years later we would still have that system of recruiting people to our Parliament, and with no prospect of an end in sight. The other matter is the very important Motion that this House passed last year, moving that, “this House believes that its size should be reduced, and methods should be explored by which this could be achieved.” As a result of that debate, the Lord Speaker established a committee under the noble Lord, Lord Burns, to consider the issue. The committee is due to report in October. What has that to do, you may well ask, with my Bill to end the by-elections? The answer is that if we are to reduce the size of the Lords to around 600 Members so that it is smaller than the Commons, surely we will have to amend the legislation that preserves in aspic 90 places for hereditary Peers. If we reduce the size of this House without changing the law on the hereditary bloc, the proportion of hereditaries would rise from 11% to 15%. For us to embark on an important modernising measure to reduce our size with the result of significantly increasing the proportion of hereditaries really would be a case of Alice in Wonderland I should point out that we are not the only ones looking for ways to reduce our size and of the way in which that might involve the hereditaries. Since I introduced my Bill last year, the size of the Lords and the issue of the hereditary Peers have been discussed several times in the Commons, in a Select Committee inquiry, a Private Members’ Bill, a Westminster Hall debate and a 10-minute rule Bill. Most recently, on Wednesday this week, the Commons gave the First Reading to a Bill introduced by my right honourable friend David Hanson, which is scheduled for Second Reading in April. The Bill would end the right of all hereditaries to sit in the Lords with effect from 31 December 2019. Surely the initiative for sensible reforms of this House should come from this House. With the help of the noble Lord, Lord Steel, and the noble Baroness, Lady Hayman, we have had a number of very good reforms in recent years and I believe that with the Lord Speaker’s committee due to report next month, there will be more to come. We should reform ourselves, not wait for someone else to do it for us I submit that the case for ending the by-elections has strengthened inexorably since I introduced my Bill 12 months ago. We now have the opportunity in this House to initiate a simple sensible reform that would hurt no one and cost nothing. My Bill was first in the ballot and we are at the start of a two-year parliamentary Session, so parliamentary time should be no obstacle to the passage of a simple two-clause Bill. The case is overwhelming, the time is right, so let us do it. I beg to move.
ParlaMint-GB_2017-09-08-lords.u5	My Lords, as a hereditary Peer I have a brief say at the beginning of this debate. We have a long day of three debates and a large number of speakers ahead of us. I remind the House that there is an advisory speaking time of five minutes for this debate and I urge speakers to adhere to that.
ParlaMint-GB_2017-09-08-lords.u6	My Lords, as the noble Lord, Lord Grocott, has said, this Bill is very similar, if not identical, to the one he introduced about a year ago, which eventually did not pass. I am afraid that my position on this Bill is very much the same as it was on the last one, so I apologise if what I now say is something of a repetition of what I said last year All this goes back to the House of Lords Act 1999. At that time, your Lordships’ House was some 1,200-strong: split roughly half and half between hereditary Peers and life Peers. The Bill of that year, as originally introduced, simply removed all hereditary Peers from your Lordships’ House without any qualification. That proposed Bill inevitably met serious opposition in your Lordships’ House. Indeed, given the political numbers of that time, doubtless the Opposition could have rejected the Bill outright. However, Lord Weatherill, assisted by Lord Cranborne—now the Marquess of Salisbury—and my noble friend Lord Strathclyde, was able to persuade the then Government that a deal needed to be done, which it was, to the effect that 92 hereditary Peers would remain, topped up as necessary through by-elections until such time as House of Lords reform was complete The then Lord Chancellor, the noble and learned Lord, Lord Irvine, declared that agreement to be, “binding in honour on those who gave their assent to it”.—[Official Report, 30/3/99; col. 205.] Your Lordships may ask what was meant by “complete” House of Lords reform. I would say that the Bill introduced back in 2012 by the then coalition Government was indeed just that. Had that Bill reached the statute book, it would have been the end of the 1999 agreement. Unfortunately, that Bill did not pass through the other place and no further attempts of that nature have been made since There is now talk of further reform, for example along the lines proposed by my noble friends Lord Cormack and Lord Norton, which I would not necessarily oppose—not in principle, anyway. In addition to these ideas, as the noble Lord, Lord Grocott, has pointed out, the noble Lord, Lord Burns, is now chairing a Speaker’s Committee to examine the size of the House, which will surely have a bearing on the matter. I regret that that Committee does not include a hereditary Peer; but the noble Lord was good enough to agree that I and a couple of my hereditary colleagues could give evidence to his Committee, which we did. We look forward to his report.
ParlaMint-GB_2017-09-08-lords.u7	My Lords, I have noticed that the most ardent defenders of the status quo are certain noble Lords whose hereditary peerages are of the least antiquity. Is that because they hope that the effluxion of time will clothe them as legislators in some flimsy legitimacy?
ParlaMint-GB_2017-09-08-lords.u8	I would have to reflect on that question before I answered it My Lords, against the background I have described, I have to say that the Bill of the noble Lord, Lord Grocott, is inappropriate and untimely. I shall do my best to persuade your Lordships accordingly.
ParlaMint-GB_2017-09-08-lords.u9	My Lords, I shall begin by making it clear that there is nothing ad hominem about this debate. We are extremely fortunate to have hereditary Peers providing expertise on development, aid, science, transport, the environment, learning, health, defence, law and business, among many other fields. Those Peers also regularly contribute to a host of other issues that come before the House, more often than not with a particular kind of disinterest that makes their contributions all the more valuable Today, we are discussing the principle of maintaining the 90 or so hereditary Peers in perpetuity by means of elections. We have heard the argument that it was a promise made at the end of the last century that must be honoured until full-scale stage two House of Lords reform takes place. That argument becomes weaker by the day. Over the last decade and more, the House has changed significantly by means of incremental agreements; now, we will possibly be discussing a degree of enforced voluntary retirement to reduce our numbers. We already have the power to debar those convicted of serious criminal offences—changes that would have been unthinkable only a few years ago. The circumstances whereby this odd situation arose are well-known: it was a deal in the interests of getting the main elements of the House of Lords reform Bill passed in 1999. The crucial amendment was tabled by the late, and much lamented, Lord Weatherill, who himself subsequently proposed a Private Member’s Bill to end hereditary by-elections In 2007, a survey of Peers resulted in 71% agreeing that hereditary by-elections should cease; yet support in the Chamber for the subsequent Constitutional Reform and Governance Bill—CRAG—was notable by its absence, thereby allowing a small group of Peers to talk it out. The view that any legislation now would be a breach of faith, if not contrived, is certainly not put forward with the best interests of the House in mind Phasing out hereditary by-elections is never going to be an easy fix, but there are some legitimate concerns, one of which is the potential imbalance between the two main parties, were there to be a cessation of by-elections. Another is that we, as a Chamber, might be spurning unique experience or expertise by abolishing by-elections. Surely there could be a system whereby hereditary Peers wishing to sit in the Lords could apply, like others, to be Members based on criteria such as expertise and willingness to contribute regularly. That system could be weighted to reflect a more equitable balance between the parties I know that a hustings system, which helps to select hereditary peers who offer expertise, is now routine, but it is still the operation of a hereditary principle. That is what sits uncomfortably with the image of the House of Lords that most of us wish to promote—that of a spare, experienced and expert body of people, carrying out a vital scrutinising role and thereby acting as a constant check on Government powers It is too easy for critics, of whom there are many, to lob brickbats at us: we are unelected; we are too many; we are unrepresentative; we are elitist. It is this latter charge that we could relatively easily dispense with. In the past few years, a number of mechanisms have been employed to derail efforts to confront the hereditary issue. These have included what cannot be called other than filibustering, and of course the continuing heavy reliance on the commitment made before the passing of the 1999 Act. Perhaps a further factor might be the unwillingness of many in this Chamber to state publicly their belief that the practice of by-elections should now be phased out A rational, thought-through argument upholding the hereditary principle has yet, in my view, to be articulated. I therefore hope that this Bill will continue its passage through this House, and an accommodation will be reached that reiterates the value of the hereditary Peers we are fortunate to have but recognises—perhaps sadly—that the principle must now come to an end.
ParlaMint-GB_2017-09-08-lords.u10	My Lords, “It feels like ‘Groundhog Day’,” is an expression that is bound to be used as we debate this issue again. I certainly feel like Bill Murray, who played the weatherman in that film who finds himself inexplicably living the same day over and over again. As the US Congressman Mo Udall once famously commented, “Everything has been said, but not everyone has said it”. I expect to hear the same arguments over and over again, as little has changed since last December, when the House clearly expressed the view of its Members that a Bill such as this should be allowed to make progress and be considered by the House of Commons On 9 December last year, the amendment aimed at blocking the progress of the Bill of the noble Lord, Lord Grocott, was defeated in this House, as he said, by 95 votes to 26, with 78% of us voting to make progress on the Bill. My first point is simply that every speech made on this subject, on every side of the debate, references respect for this House. Therefore, the will of the House should now be respected and we must put an end to the practice of holding by-elections to maintain a substantial hereditary presence in the House indefinitely, long after those hereditary Peers chosen to remain in 1999 have passed away My second point is that almost every Peer who speaks in this Chamber says that we must also respect the primacy of the House of Commons, yet a small number of Peers seek to block the House of Commons from being allowed even to debate the Bill. The principle of it has already been voted on by the elected House: the principle of ending the by-elections to top up the number of hereditary Peers was voted on by MPs in January 2010, when they supported the measure as it was proposed in the then Constitutional Reform and Governance Bill. They did so overwhelmingly, by 318 votes to 142. The House of Commons has already voted in support of exactly what is in this Bill, by a majority of 176, or by 66% to 34%—again, an overwhelming majority Those who are defending the rights of hereditary Peers to vote to elect more hereditary Peers to be a part of this legislature, should perhaps take note of the previous votes of this place and the other place on this very issue. They should allow this Bill to go forward to the Commons, without further filibuster bringing about further damage to the reputation of this House. Thirdly and finally, I want to challenge those suggesting that a deal seen as a temporary measure, and secured by the votes of both Houses in 1999, must be binding for all time. Some noble Lords regard those votes as being irrevocable, but I believe that those same noble Lords also subscribe to the principle that one Parliament cannot bind any successor Parliament; for if it could, what would be the point of our meeting to consider much of the legislation that we do consider, if an issue has been decided in the previous Parliament, let alone one five Parliaments ago?
ParlaMint-GB_2017-09-08-lords.u11	I am grateful to the noble Lord for giving way. Does he think it significant, as the previous speaker said, that Lord Weatherill himself tried to change this situation later?
