ParlaMint-GB_2020-10-23-commons.u1	I beg to move, That the House sit in private Question put forthwith (Standing Order No. 163).
ParlaMint-GB_2020-10-23-commons.u2	I beg to move, That the Bill be now read a Second time Madam Deputy Speaker, I should like to declare that I am a tenant beef farmer’s son and a former member of the National Farmers Union. I also refer the House to my entry in the Register of Members’ Financial Interests I am delighted to sponsor the Bill. It is one that means a great deal to so many people. It means an enormous amount to me, to my family, who have been caring for animals for 100 years on our farm, to many hon. Members from across the House and to the many impassioned campaigners from across the nation. If colleagues support me in my quest, we can today progress this much-awaited step forward on animal welfare, delivering another important commitment from the Government Benches and helping to cement this country’s place as a world leader in the care and protection of animals I believe that every animal deserves a dignified life and that we should use our heads as well as our hearts when it comes to taking action on this issue. That is why I have decided to sponsor this important Bill, inspired by the story of my own dog, a four-year-old springer spaniel who I named Poppy. Poppy was abandoned on a stormy night in January last year. She had been dumped at the top of a hill miles from the nearest town or village. It was at the roadside on that hill top lane in my constituency that I found her while driving home Poppy was in a bad state when I found her. She had clearly been mistreated. Her pads were red raw and there were cuts to her legs. She had nasty growths and needed three teeth removed. Evidence suggested that, shortly before I found her, she had given birth to a litter of puppies. My dad, being someone who has taken care of animals on our farm for his whole life, took her for the emergency veterinary care that she needed before bringing her home to live with him and my mum on our farm. She now enjoys a wonderful new life as a member of the Loder family exploring the green and pleasant land of my home in West Dorset.
ParlaMint-GB_2020-10-23-commons.u3	I, too, welcome the hon. Member’s Bill. Does he agree that although it is very good, we need effective enforcement as well, because if we just have a Bill that is not actually enforced, that does not take us any further forward?
ParlaMint-GB_2020-10-23-commons.u4	Yes, I wholly agree with the right hon. Gentleman and I shall go on to address that in my speech The Bill amends the Animal Welfare Act 2006, which currently sets out a maximum penalty of six months’ imprisonment and/or an unlimited fine for the most serious prevention of harm offences. We have in this country a legal and, indeed, moral obligation to provide for the welfare needs of animals that we keep and should be safe in our care, whether they are pets, farm animals or in other captive environments. Under animal welfare law, the maximum custodial sentence for the most shocking animal cruelty offences is just six months’ imprisonment. If someone pleads guilty to this crime at the first reasonable opportunity, the maximum sentence can be reduced to just four months. The UK is a nation of animal lovers—44% of all households have a pet—and as the Parliament of our great nation of animal lovers, it is right that we lead the way today in challenging this gross injustice. A mere six months discourages no one, so we must establish in the law of England and Wales a much tougher maximum penalty. By increasing the penalty tenfold, we hope to suitably discourage the shocking behaviour that leads to the neglect and cruelty of animals.
ParlaMint-GB_2020-10-23-commons.u5	I congratulate my hon. Friend on bringing forward this extremely important Bill. Clearly, prosecutions are brought only for the most serious cases of animal cruelty, but does he have any indication of how many successful convictions at the moment result in an immediate custodial sentence, and how many do not attract even the shortest periods behind bars?
ParlaMint-GB_2020-10-23-commons.u6	I thank my hon. Friend for his intervention. We have in excess of 1 million reports to the Royal Society for the Prevention of Cruelty to Animals of difficulties with animals or the mistreatment of animals. It results in fewer than 100 ultimate prosecutions, so that, further to the point made by the right hon. Member for Alyn and Deeside (Mark Tami), clearly indicates that the area of animal welfare needs much more attention, and particularly the enforcement point, as I shall come on to in my speech I am pleased to say that the Bill introduces one of the toughest punishments in the world and will bring us into line with the maximum penalties available in other Commonwealth countries, including those in Australia, Canada, New Zealand and India, which are all at five years’ imprisonment. With this Bill, we will lead the way in Europe on animal sentencing, where the average custodial sentence for animal welfare offences is currently just two years. It is a simple, yet vital measure that will ensure perpetrators who harm an animal by, for example, causing unnecessary suffering, mutilation or poisoning, face the full force of the law. That includes cases of systematic cruelty, such as the deliberate, calculating and callous behaviour of ruthless gangs who use dog fighting to fuel organised crime. The Bill will mean that the courts will have sentences at their disposal commensurate with the most serious cases, so that the punishment fits the crime. This will send a clear signal.
ParlaMint-GB_2020-10-23-commons.u7	Like others, I congratulate the hon. Member on bringing forward this very important Bill. He touches on something very important: the link between these crimes and other criminality. Should it not be reinforced by Government to police forces and prosecutors that those who break the law break the law and, therefore, there should be many more prosecutions, because in many cases, these people are also involved not only in other crime, but, actually, in cruelty, particularly to children and other human beings?
ParlaMint-GB_2020-10-23-commons.u8	I wholly agree with the right hon. Gentleman that those who break the law and who carry out crimes, whatever those crimes may be, should feel the full force of the law. I am delighted that the Government support the Bill, and many other measures to tackle those crimes, to address that point The Bill will mean that the courts have sentences at their disposal commensurate with the most serious cases so that the punishment fits the crime. That will send a clear signal to any potential offender that there is no place for animal cruelty in this country.
ParlaMint-GB_2020-10-23-commons.u9	On behalf of many of my constituents who have written to me about the Bill, I thank my hon. Friend for bringing it forward and the Government for supporting it. The idea that sentences need to be commensurate with the crime and, as hon. Members have mentioned, that they are actually enforced, has a big groundswell behind it.
ParlaMint-GB_2020-10-23-commons.u10	I wholly agree. Part of the reason that I want to progress the Bill is to deal with that issue. As I articulated earlier, the fact that for more than 1 million cases reported, fewer than 100 cases are prosecuted is a great cause for concern. I hope that the Bill will make progress in that area There have been a number of recent cases involving serious and significant levels of animal cruelty, in which the judges have commented that they would have imposed a higher penalty or custodial sentence had one been available. Only last month, a man was convicted of causing unnecessary suffering to his cat. He burned her in a hot oven, tried to flush her down the toilet, attempted to strangle her and threw her against a wall. He received an 18-week suspended sentence, was banned from keeping pets for 10 years and was ordered to pay a mere £440 in costs. I hope that hon. Members on both sides of the House agree that that is totally unacceptable. The Bill will hopefully deal with that issue.
ParlaMint-GB_2020-10-23-commons.u11	I thank my hon. Friend, as all hon. Members have, and congratulate him on bringing forward the Bill. I suspect, although I am not 100% certain, that I am the only hon. Member present who sits as a member of the judiciary. When I face such cases as a sentencing magistrate, as I have on numerous occasions, they are among the most harrowing and disturbing cases to deal with I also recognise the court of public opinion when such cases are reported in newspapers. I have faced criticism from constituents who feel that we have under-sentenced, even when we have given the maximum sentence available—six months. There is recognition in the community that such sentences need to go beyond that. I say as a magistrate, and having spoken to many other magistrates, that we really support this legislation. It is absolutely needed and I am delighted that my hon. Friend is bringing it forward.
ParlaMint-GB_2020-10-23-commons.u12	I thank my hon. Friend for his intervention. I wholly agree, because the example that I just shared with the House is only one of countless examples of heinous animal cruelty that happen every year in this country. I want the Bill to not just discourage that behaviour but stop it.
ParlaMint-GB_2020-10-23-commons.u13	It is implicit in what my hon. Friend said in reference to that case that he believes that, instead of the suspended sentence, a sentence of immediate imprisonment should have been imposed. Yet the explanatory notes in relation to the financial implications of the Bill say: “The increase in maximum penalties will not result in an increase in the number of offenders being sent to prison”, which implies that it would not make a ha’p’orth of difference to that case.
ParlaMint-GB_2020-10-23-commons.u14	I thank my hon. Friend for his kind intervention; I do not agree entirely. The evidence from magistrates and others makes it clear that the tools they have in their toolbox to deal with such a matter are limited. The issue is also partly that a maximum sentence of six months is not any sort of discouragement—it may be to some, but I am afraid it is clearly not working. The element of enforcement, as mentioned by hon. Members on both sides of the House, is absolutely required. This Bill is one of a suite of legislative components that the Government, and indeed my hon. Friend and neighbour the Member for Tiverton and Honiton (Neil Parish), will look to progress in respect of animal sentience, to deal with these very matters.
ParlaMint-GB_2020-10-23-commons.u15	Will my hon. Friend give way?
ParlaMint-GB_2020-10-23-commons.u16	I am not going to give way at the moment, because I need to make a little progress, but I will come back to my hon. Friend Every year, animal welfare charities such as Battersea Dogs & Cats Home, the Royal Society for the Prevention of Cruelty to Animals, The Kennel Club and Cats Protection, and many others carry out important work to rescue and rehome animals. It is clear from the amount of work they have to do that we need to discourage these acts of cruelty in the first place.
ParlaMint-GB_2020-10-23-commons.u17	Does the hon. Gentleman agree that we will need to publicise and raise awareness of the maximum sentence once, as we hope, the Bill is passed and put into law, so that it acts as a deterrent to stop people even thinking about committing cruelty to animals?
ParlaMint-GB_2020-10-23-commons.u18	I wholly agree with the hon. Gentleman on that. Part of the reason this Bill needs to be put forward is that the support from the organisations that specialise in animal care, such as those I have outlined, will increase the publicity of this much more. I invite all Members, both those here today and those who are not, and everybody watching on television, to support the case and make sure that this is well known We now have an opportunity to deliver a strong message to animal abusers that their behaviour will no longer be tolerated. When this Bill is passed, they can expect those tougher sentences. The increase in the maximum penalty for animal cruelty will be the first increase for such offences in more than 30 years, since another private Member’s Bill, from the then hon. Member for Ealing North, increased the maximum from just three months’ imprisonment and a maximum fine of just £1,000. I know that this House contains many hon. Members who have spoken up for animal welfare over the years, and I am sure we will continue to do so again. I hope that with the support of hon. Members from across this House this Bill will reach the statute book and make a real difference by reducing the instances of animal cruelty, as the hon. Gentleman highlighted Although this Bill will go some way to correct the deep injustices of cruelty to animals across this country, there are many aspects of animal cruelty that it does not address. I am sure Members on both sides of the House will speak about other areas of priority for animal welfare, such as addressing pet theft and the right to keep family and pets together no matter what the accommodation arrangements. At that point, I should pay tribute to my hon. and dear friends the Members for Ipswich (Tom Hunt) and for Romford (Andrew Rosindell), who is not in his place. I should also thank my hon. and dear friend the Member for Redcar (Jacob Young), whose kind concern, support for the Bill and help I appreciate.
ParlaMint-GB_2020-10-23-commons.u19	rose—
ParlaMint-GB_2020-10-23-commons.u20	If the right hon. Gentleman does not mind, and as I have given way once to him already, I would like to make a bit more progress I particularly look forward to when the Government will introduce legislation on animal sentience as well, a matter that has given the Select Committee on Environment, Food and Rural Affairs much cause for concern. I pay tribute to its Chairman, my hon. Friend the Member for Tiverton and Honiton, for his work and to its members who are present, especially my hon. Friend the Member for Keighley (Robbie Moore) Two areas of animal welfare concern should be firmly on our list of priorities as the nation’s Parliament. The first is live animal exports. It is disgraceful that our well-cared-for farm animals can be loaded on a lorry and sent thousands of miles by land and sea to a destination in southern Europe. As if that is not bad enough, these poor animals go on to be slaughtered not even in continental Europe but in places such as Libya and Lebanon, as reported by the BBC a couple of weeks ago For those who believe that the National Farmers Union is on the side of animal welfare and that this Government are not, I say that it is this Conservative Government who want to stop live animal exports. Who is it that wants live exports to continue—for our cows and other animals to be subjected to a disgraceful level of care and slaughter, thousands of miles away from the United Kingdom? It is the National Farmers Union. Today I call on Members to ensure that this Parliament delivers on the Conservative manifesto pledge to stop live animal exports. Let us remind ourselves of how that pledge became possible.
ParlaMint-GB_2020-10-23-commons.u21	Will my hon. Friend give way?
