ParlaMint-GB_2016-03-11-lords.u1	That the order of commitment be discharged.
ParlaMint-GB_2016-03-11-lords.u2	My Lords, I understand that no amendments have been tabled to this Bill and that no noble Lord has indicated a wish to speak in Committee or to move a manuscript amendment. Accordingly, and unless any noble Lord objects, I beg to move that the order of commitment be discharged.
ParlaMint-GB_2016-03-11-lords.u3	That the order of commitment be discharged.
ParlaMint-GB_2016-03-11-lords.u4	My Lords, I understand that no amendments have been set down to this Bill and that no noble Lord has indicated a wish to move a manuscript amendment or to speak in Committee. Unless, therefore, any noble Lord objects, I beg to move that the order of commitment be discharged.
ParlaMint-GB_2016-03-11-lords.u5	That the order of commitment be discharged.
ParlaMint-GB_2016-03-11-lords.u6	My Lords, I understand that no amendments have been set down to this Bill and that no noble Lord has indicated a wish to move a manuscript amendment or to speak in Committee. Unless, therefore, any noble Lord objects, I beg to move that the order of commitment be discharged.
ParlaMint-GB_2016-03-11-lords.u7	That the Bill be now read a second time.
ParlaMint-GB_2016-03-11-lords.u8	My Lords, through the Bill I am today pursuing a matter of considerable concern that has been raised in this House on a number of previous occasions by myself and my noble friends in particular, and which reflects great concern outside in the country Fixed-odds betting terminals—FOBTs—are touch-screen roulette machines in betting shops that allow the user to bet up to £100 every 20-second spin. They have transformed the betting sector since their introduction in 2001, and the Gambling Act 2005 classified FOBTs as B2s. The noble Baroness, Lady Jowell, stated at the time that if evidence of harm emerged, the £100 stake could be reduced as FOBTs were “on probation”. It is clear that the experiment to allow high-speed roulette in easily accessible betting shops has been a disaster and it is notable that as a result, the noble Baroness, Lady Jowell, herself recently called on the Government to act as the evidence of harm continues to build The essence of my Bill is to reduce the stake to £2 a spin. This is the maximum stake on gambling machines in all other easily accessible venues such as arcades and bingo halls. It will reduce gambling-related harm, prevent further betting shop clustering and restrict high-street money laundering The human misery caused is enormous. I will not rehearse all the harrowing stories, but many have been reported and they are extremely distressing. Clinical psychologist Anna Henry, who treats gambling addicts, said that FOBTs are designed to foster addiction: “Basically the industry has created casinos in the High Street … These machines isolate the player, there is nothing to distract him from that screen. Its speed is to encourage frenzy. And thus more spending” More crime takes place in betting shops than in any other gambling venue. A freedom of information request to the Gambling Commission revealed 11,232 incidents in 8,980 betting shops from January to December 2014—an average of 1.25 incidents per premises, up from 0.82 the previous year. This compares to just 479 incidents related to the remaining 2,747 venues. These incidents account for 97% of police call-outs to all gambling venues The reality is that these machines are highly dangerous products which are a catalyst for problem gambling, social breakdown and serious crime in communities. Just take the case of a gambler in Leeds who was given a two-year sentence for attacking a betting shop worker with a knife. The man had lost £1,000 playing FOBTs—money that was intended to be a deposit on a flat. He said that he was “utterly possessed” by the machines FOBTs are also useful to money launderers, as huge amounts of cash can be inserted into the terminals to legitimise the proceeds of crime. There were 633 suspicious activity reports in betting shops last year related to money laundering, but much of it goes unreported. A Gambling Commission report that will be considered by the Treasury said: “The betting sector is regarded as high-risk relative to other gambling sectors. The customer base is varied, and often customers remain anonymous to the operator within the non-remote sector. The reporting and detection of suspicious transactions in the non-remote betting sector is often frustrated by the ability of a customer to remain anonymous” Bookmakers have a legal duty to comply with the licensing objectives of the Gambling Act 2005, but how can they comply and keep gambling crime-free and harm-free when the FOBT stakes are so high? Each betting shop is permitted four FOBTs, which now account for more than half of bookmakers’ profits. One has only to look at the importance of these machines in the recent figures for William Hill and Ladbrokes. The gross win on each machine is worth £1,000 a week. That led to a 43% increase in the number of betting shops on the high street between 2004 and 2012 While planning authorities are in a better position to refuse applications, licensing authorities are still required to aim to permit betting shops. They are still powerless to stop the proliferation of betting shops and FOBTs on the high street. One street in the London Borough of Newham has 18 betting shops. As a result, 93 local authorities led by Newham Borough Council submitted a proposal under the Sustainable Communities Act. They called for the stake to be cut to £2 due to the anti-social behaviour, crime and problem gambling that the machines are causing in their local areas. This unprecedented step represents the widest support that any Sustainable Communities Act proposal has ever received. The Government rejected that proposal last year, but the Local Government Association has since resubmitted it under the terms of the FCA. What will the Government’s response be in the coming months, when discussions are due to take place There are wider economic arguments. There has been much scaremongering about the economic impact of any action to restrict FOBT machines. The ABB has claimed that 7,800 betting shops and 39,000 jobs would be at risk if there were a reduction in the maximum FOBT stake from £100 to £2 per spin. However, a report by NERA Economic Consulting, The Stake of the Nation—Balancing the Bookies, concluded that cutting the stake on these machines would reduce the number of bookmakers by about 800, primarily where clusters had developed. Moreover, it found that the move would create a net positive 2,000 or so high-street jobs as money returned to other, more labour-intensive and productive high-street shops Elsewhere, other Governments are concerned about the impact of these terminals. The machines are already banned in Ireland. Above all, there is the impact of FOBTs on the vulnerable and the disadvantaged. Research published last year by SPICe, the Scottish Parliament Information Centre, found that problem gambling is seven times higher in deprived areas, seven times higher among harmful drinkers and six times higher among the mentally ill. A 2014 survey by 2CV found that 80% of all betting shop users think that FOBTs are addictive, rising to 89% among FOBT users. The survey found evidence of harmful levels of gambling. Users playing weekly or more often account for 63% of session activity and 90% of cash inserted into FOBTs We have all seen that the Responsible Gambling Trust is now facing problems with the Charity Commission as a result of conflicts of interest on its trustee board. I do not want to add to its woes but its lengthy research programme failed to carry out its primary purpose—establishing whether FOBTs are safe. It did, however, provide some insight into worrying trends in machine gambling, including the fact that a person gambling with higher stakes is more likely to make a poorer judgment than when gambling with lower stakes, that the number of people betting the maximum £100 stake doubles between 10 pm and midnight, and that 37% of FOBT gamblers are problem gamblers. The Gambling Commission has stated that, in interpreting the available evidence where the evidence is mixed or inconclusive, it will take a precautionary approach in accordance with its principles for licensing and regulation. So surely, in the face of this evidence, the stake should be reduced until there is an indication that it can be safely increased above £2 The fact is that government measures to date have been ineffective. After months of grass-roots pressure and concerns expressed across the country, last year the Government introduced the Gaming Machine (Circumstances of Use) (Amendment) Regulations 2015, which were implemented on 6 April. These regulations require FOBT customers to authorise stakes of £50 or more either via account-based play or via over-the-counter staff authorisation. In January 2016, the DCMS published an evaluation of the impact of the regulations. However, a study by Landman Economics has demonstrated that the DCMS was completely unable to determine whether the regulations on the £50 stake had led to an increase in player control, let alone a reduction in the number of problem gamblers. The DCMS argues that increased session length may have led to more considered decision-making, but the time between spins increased only very marginally. It is much more likely that players who used to stake up to the £50 to £100 range are simply losing their money more slowly. This would not represent more controlled play. The report concludes that the DCMS evaluation is flawed and cannot realistically be used as a reliable guide to policy Where one has regard to the scale and nature of the problems that FOBT machines are causing, on the precautionary principle a very much more serious and more appropriate response is required, as set out in the Bill before us. The time for tinkering has gone, and there is no doubt that the public support action against FOBTs. In fact, a YouGov poll showed that only 4% of the public would oppose a ban on them, with 58% of those who gamble more than once a month being in favour of an all-out ban. ComRes polling showed that two-thirds of people in marginal constituencies believe that FOBT machines are harmful and they support the reduction of the maximum stake to £2. FOBTs are destroying lives and damaging communities. The Bill will reduce the maximum stake on FOBTs to £2 a spin. I believe that it will reduce the serious harm caused by the machines, deter money laundering and reduce betting shop clustering on the high street I am an optimist and I very much hope that the Government will support the Bill. Modest though it is, if the Government reject it, and especially if they claim that they can achieve the same goals by other means, I believe they will be obliged to answer some vital questions. Will the Minister confirm when the next review of stakes and prizes is due to take place, and that the issue of FOBT stakes will be included within it? Does he agree that, as proposed by the Gambling Commission, and given the evident harms that FOBTs are causing, the Government should act on a precautionary basis and reduce the stake on FOBTs? In that context, does the Minister believe that a substantial review of FOBTs stakes is the best way to deal with the harms the terminals are causing? Will he make sure that FOBTs are properly regulated through harm-mitigation measures to ensure that they no longer present a risk to the vulnerable? If so, how? And how will the Minister ensure that the Government properly address the money-laundering risk that FOBTs present? I beg to move and look forward to the Minister’s reply.
ParlaMint-GB_2016-03-11-lords.u9	My Lords, I rise to support the Motion that the noble Lord, Lord Clement-Jones, has moved so eloquently. I do not propose to rehearse the ground that he has covered so clearly and well I want to make three points. First, it is obvious that this type of machine produces very substantial returns for the industry. That is usually quite an important factor if you believe in a market economy, but the market economy requires action to prevent abuse in some cases. Not long ago, your Lordships passed a Bill to restrict legal highs, which are very popular as far as markets are concerned—rather dubious markets at that—but are of terrific harm to people across the community. The Government have rightly acted in that area. In my submission, the Government should act effectively in this area also, given that, as the noble Lord has demonstrated so clearly in his speech, this is a very damaging social problem in our communities, particularly in the less affluent communities. Obviously, if one is in a desperate situation, one takes desperate measures. Sometimes, the idea that you will possibly make a big profit overcomes every other consideration. In the mean time, what you have done is deplete your assets even more Secondly, I want to say a word or two about the question of money laundering. This is an important area, and I was interested to know how this money laundering works. Apparently, if somebody has some money that is of doubtful origin, he goes into the betting shop and uses this money to wager on these machines. But because the maximum wager is so high, it is possible to choose a machine in such a way as to reduce to a minimum—to about 4%—the actual risk of loss. Therefore, to launder the money, all you have to do is be prepared to suffer a discount of 4%. In these conditions, that is probably a pretty good bargain. It seems to me that this is a desperate situation, and the Government certainly need to do something about it. The idea that the recent regulations introduced do anything about that is completely farcical. I would very much like the Minister to tell the House what the Government’s view is on money laundering in this particular area and what, if anything, they propose to do to put a stop to it. The importance of a reduction in the maximum wager is that, if it were brought down to £2, the option of a 4% maximum loss would be eliminated The third point I want to make was already mentioned by the noble Lord, Lord Clement-Jones. The Scottish committee with responsibility in this area was very much in favour of taking drastic action in connection with this. However, the Scottish Parliament did not have any powers in this area. In view of the Scotland Bill—soon, I hope, the Scotland Act—the Scottish Parliament will have the possibility of dealing with new machines, but there is still a difficulty about existing machines. Therefore, the Government of the United Kingdom have a responsibility to see what they can do to implement measures to deal with the very deep concern that the Scottish authorities have drawn attention to and which they are powerless to deal with. In my submission, this Bill is a very simple and adequate remedy to a very serious social problem in our United Kingdom.
ParlaMint-GB_2016-03-11-lords.u10	My Lords, for safety’s sake, I declare a rather remote interest as a member of the Starting Price Regulatory Commission For most of my life, I have been the customer whom most bookmakers most wanted to see walk through their door. So, if the House will forgive me, I will do a bit of bragging about the annus mirabilis that has just gone by. First, there was Many Clouds in the Grand National at 33:1. Secondly, there was the Lib Dems to get fewer than 10 seats at the general election—combining business with pleasure there, I landed the bet at 16:1. Thirdly, there was Jeremy Corbyn for Labour leader—I have to say that that was combining displeasure with business, and, again, was a 16:1 shot. Finally, there was the spectacular victory of Fearless Fantasy, owned by Mr Matt Engel and me, in the maiden at Didmarton last Saturday at a very tasty 9:1. The House will understand that I am not anti-gambling I worry about some of the people who support this Bill today. We all know and love the noble Lord, Lord Clement-Jones, but he is a Lib Dem and the Lib Dems have been going on about gambling since the 19th century. So it is nothing new for them—good on them for keeping going. However, the puritan spirt that encapsulates it may be part of the reason why I won my bet on them doing badly at the general election. Anyway, next week, the noble Lord, Lord Clement-Jones, will doubtless be introducing a Bill to reduce the strength of beer to below 3%, and I wish him good luck in pursuing Lib Dem causes. On a slightly more serious note, some of the lobbying that we have had does deserve a closer look. Take, for example, CARE. If the name Christian Action Research and Education rings a bell in this House, it may be because in the debate last year on mitochondrial transfer it produced the most disgraceful polling, conducted by the firm ComRes, which the Minister the noble Earl, Lord Howe, rightly demolished at the Dispatch Box. I have made an official complaint to the Market Research Society about that polling and that is still being deliberated on. I am very glad that CARE has, this time, used the reputable pollsters YouGov to conduct its research. However, you have to worry about these ideologically committed groups Even worse, I am afraid, is the Campaign for Fairer Gambling. Much of its work is very good, well researched and has contributed to debate, but the House needs to know that it is largely funded by a man called Derek Webb, a former casino games inventor who lives, I think, in Las Vegas, and who has been involved in a commercial dispute with the British betting industry over the machines that he invented. When you have that kind of background, you have to watch it a bit before you take the moral high ground in debates of this kind I have also noticed the swelling press opinion. I take my hat off to whoever invented the phrase “the crack cocaine of gambling”, because not an editor in the country can resist it, but we get some very strange stories. The Guardian this week claimed that bookmakers are targeting ethnic minorities with these machines. But the facts are these: of course bookmakers set up betting shops in areas that are less prosperous—I wonder whether anyone in this House has played an FOBT; Members of this House do not go into betting shops but bet on the phone or online—because betting shops are a pastime that is most common in deprived areas. There are more ethnic-minority people in deprived areas. If bookmakers open more betting shops in deprived areas, that is a perfectly sensible commercial decision. It is nothing to do with targeting people from ethnic minorities, and it is a grotesque distortion of the facts to complain otherwise Noble Lords can therefore see that my disposition is to reject this Bill and the thinking behind it and to claim that all is well—but I cannot. Most reluctantly, I cannot. I am persuaded that the regime for FOBTs is too liberal, that the £100 stake limit—£50 without human interaction—is too high, that the bookmaking industry has been defending the indefensible and that the Government have acted with the energy of a hibernating sloth. The bookmakers should have seen this coming and done something off their own bat, but greed stopped them doing it I am wearied, too, by this constant repetition in their propaganda that they are waiting for the evidence. I perhaps do know a bit about evidence in this field because I have been a visiting professor in gambling at a reputable British university and read more of this research than many of your Lordships have had hot dinners, though much of it is a great deal less digestible than the hot dinners that you will have eaten. I have to say that this is a very hard field to research. We can all find out what the number of betting shops is—whether it is going up, going down or whatever—but this is about human behaviour and human motivation in an area where people have all sorts of motivations to keep things secret and where, to be truthful, the bookmakers have been very reluctant to make available the commercial evidence that they have at their disposal. It is very hard to come to firm conclusions, and you can find an evidence-based way of backing any case that you cared to argue, which is why they keep coming back to it. There will never be enough evidence. The only thing I would say is that, if anyone is in any doubt, they should go into a betting shop—something I do on occasion—watch the people putting the money into the FOBTs and see whether this is an activity that they feel wholly comfortable with on the scale with which it is conducted. It really is not very pretty I would not stop people—I am against stopping people wherever possible—but I think that a degree of restraint is justified. If anyone had any doubt, they should study the case that was in the newspapers this week of the Paddy Power customer who, the staff warned, had a real gambling problem and higher management forced them to try to make him continue to bet. It has paid £280,000 in a fine for that. That was two years ago and I am prepared to believe that Paddy Power, which is my bookmaker, has tightened up since, but that shows a depth of cynicism and a willingness to wreck human lives that devalues the whole case that the bookmakers are making. I do not know if £2 is the right limit; I should be inclined to settle for something higher, particularly if it could be done by consensus rather than as a result of disputes between the extremists on either side I have two quick points to conclude. Lower limits will hit bookmakers’ profits, and they have been hit already by the increase in gaming machine tax. Coral’s recent results show an extra £50 million a year in tax; for Hill it was £87 million. We understand that the Government are going to levy a sort of tax on bookmakers—or, rather, on poor punters—to subsidise horseracing and rich owners like myself. George Osborne has been egged on in this by Matt Hancock, who is not only a former BIS Minister but the Member for Newmarket. I think we are going to hear something in the Budget speech this year, as we did last year, though the racing right canvassed there went away. Well, I call this “Hancock’s Half-minute” and I hope it will go away very quickly, because if the bookmakers put in more and more money to subsidise me, they will not have the spare resources to cut down on the use of FOBTs by sensible restraint. I am not sure whether this stuff will survive European scrutiny under state aid, but I think it has to be taken account of and taken into proportion This is not, and should not be, a puritan campaign. Many of us in this House, I am sure, have pictures of betting shops—I go in, as I say, probably more than most of those present—as sordid places of iniquity. There is an element of that, but there is much more an element of them as places of cheap entertainment. Actual socialising takes place in betting shops, of which we have far too little in our community. I fear that if the proposals of the noble Lord, Lord Clement-Jones, were adopted, there would be many more people doing this online, in the privacy of their own homes, with no social interaction and not having the pleasures that go with it. Betting shops also create—it is not a negligible point—thousands and thousands of jobs in areas where jobs are very scarce on the ground. They are not just jobs; they are jobs where people can learn skills and grow. To be a betting shop manager is to be a wonderful retail manager and these are great opportunities. We do not want to kill the bookmaking industry. We want to cut off the worst aspects of it while preserving those aspects of it that we should either tolerate or welcome. More restraint of FOBTs, yes; destroy the bookmaking industry, no.
ParlaMint-GB_2016-03-11-lords.u11	My Lords, I rise to support my noble friend Lord Clement-Jones’s Bill, and I can assure the noble Lord, Lord Lipsey, that my party will continue to raise important issues such as this one. Unlike the noble Lord, until quite recently I had relatively little knowledge of gambling or gaming, but all that changed in 2004 when I had to the opportunity to serve on the Gambling Bill Committee in the other place. During our discussions there we learned a great deal. Although there was some discussion of fixed-odds betting terminals, the majority of the debate centred on the issue of super-casinos and, rather bizarrely, the maximum amount of money that could be charged for a teddy bear in an arcade grab machine. However, since the Bill was passed and became the Act, concerns about fixed-odds betting terminals have continued to be discussed and the concerns have increased I had the opportunity to work on some other related issues, internet gambling in particular, and the use of voided bets and unclaimed winnings in betting shops. However, the concerns about FOBTs grew and grew, and I had an opportunity to meet many of the individuals and organisations that were expressing concerns about them. I can say to the noble Lord, Lord Lipsey, that yes, I have indeed played on a FOBT machine and seen how easy it could be to lose a great deal of money. I had the opportunity to come forward with one or two proposals for how we could move forward. One particular concern was the growth in the number of betting shops and the way that they were clustering together on our high streets, particularly in areas of high unemployment. It is worth reflecting on the fact that in betting shops that are allowed up to four fixed-odds betting terminals, up to 50% of profits come from those terminals. In the past 10 years, because of the drive from those profits, there has been a 50% increase in the number of betting shops on our high streets. Indeed, there are twice as many betting shops per head in areas of high unemployment than in areas of low unemployment. They are also very closely linked to payday lending and often have such premises next door to them In the London Borough of Newham, for example, there are currently 82 betting shops—that is, six per square mile—and some high streets have more than a dozen betting shops in close proximity to each other, creating in effect casinos on the high street that are far less regulated and far less supervised than the official casinos. Local councils are almost powerless to stop it because betting shops used to fall into the same planning category as banks, so that when a bank or building society branch closed, it could be converted into a betting shop or gaming outlet without the need to apply for planning permission to change it. I and many others propose that there should be a separate use category for betting shops. I am delighted that in the last days of the previous coalition Government such a measure was introduced. Unfortunately, however, there was still a duty on licensing authorities to “aim to permit” betting shops. So despite the welcome change in the planning legislation, the problem remains. That is why my noble friend’s Bill is so important—it tackles the problem from a different direction The FOBTs that we are talking about, as noble Lords have said, allow bets of up to £100 on a single spin or game, and three games can be played in just a minute because of the very high spin rate. No other machine offers such high stakes or play speeds. The evidence is clear that they are addictive and linked to social vulnerability and payday lending. One FOBT player, who sadly later committed suicide, had said, “It’s quick and easy to win and lose money in a short space of time”. As the noble Lord, Lord Lipsey, has said, they have been described by some as the “crack cocaine of gambling”, while others have described them as “the scourge on the High Streets across Britain” and the “misery machines doing our society no good at all”. From these “misery machines” bookies are making record profits. Some suggest that Ladbrokes is now making £1,000 per week per machine. With the increased number of machines, overall profits are rising. As one insider put it, it is inescapable that FOBTs are the only reason many betting shops are still running. As the profits rise, so does the misery these machines cause. For instance, the Times recently ran a story with the headline: “Violence, debt and devastation brought by the spin of a wheel” At the end of last year, the Metropolitan Police recorded a record number of violent incidents, including assaults, linked to these terminals running into hundreds, but across the UK police were called out no fewer than 11,200 times during the past year. As we have heard, concerns about the use of FOBTs for money laundering are widespread. Tragically, as newspaper after newspaper testifies, there are far too many stories of family breakdown, financial ruin and even suicide caused by these machines. Clare Foges, the Prime Minister’s former speechwriter, wrote recently: “At the heart of these statistics are the fiendishly seductive fixed-odds machines that act like sirens on the rocks to the weak-willed and addicted” Most significantly, the Secretary of State then in charge of the Gambling Act 2005, now the noble Baroness, Lady Jowell, has acknowledged that FOBTs were “under probation” and should be removed if evidence were gathered that they were promoting harm. The noble Baroness has admitted that the 2005 Act, which gave power to the Gambling Commission to step in, had not worked. FOBTs are highly addictive, hence the sobriquet of “crack cocaine of gambling”. One study has shown that FOBTs have the strongest association with gambling-related problems, with 37%—more than a third—of FOBT users having experienced gambling-related harm. Despite all this, the Government have failed to act—despite, indeed, the Prime Minister’s assertion in 2014 that something had to be done. When I had the opportunity as a Minister to try to do something, I was allowed by the then Government to take the weakest of all responses: to announce a review. Sadly, that review came to naught. It is also sad that the current Minister, Tracey Crouch, who has spoken out strongly against FOBTs, has also attempted to introduce a review, but, quietly and mysteriously, it was blocked by No.10 a few months ago As we have heard, the bookmakers have, understandably, carried out an impressive campaign to delay action while protecting their profits—codes of practice, so-called trial player self-regulation measures and always the call for more, long-running research projects, none of which has stopped a vulnerable person chasing their losses and bringing themselves and their families into further debt and ruin by playing these £100-a-spin machines. Questions are even being asked by the Charity Commission about the charity that commissioned the most recent key FOBT research and the influence that the bookmakers have had on that research. Even the gambling regulator, understandably daunted by the prospect of taking on the powerful bookmakers, has failed to recognise that the reduction of the £100 stake would be the one measure that ensured protection of the most vulnerable. Like the Government and so many others unwilling to take on the might of the bookmaking lobby, the regulator has said that it needs more evidence that there is a credible risk of harm before it would be prepared to recommend the precautionary approach and adopt a stake reduction Inaction is destroying lives, as newspapers and the rest of the media illustrate all too regularly with case after case. We do not need more research; we need action. It could be action to reduce the spin rate—that would help. It could be action to reduce the number of machines in each betting shop—that would help. It could be action further to strengthen the power of local councils to prevent the proliferation of betting shops by giving them, as they have for pubs, the ability to take into account the cumulative impact of a proliferation of gambling activities when considering planning applications—that, too, would help But the best action would be to accept and implement the proposal in my noble friend’s Bill: to reduce the stake to a maximum of £2 so that the FOBT is comparable to other categories of gaming machine. I recommended such a move several years ago and so did many others. As we have already heard, last summer, 93 councils of all political persuasions across England and Wales called for FOBT stakes to be reduced from £100 to £2. Yet, sadly, the Government said no, despite the fact that it would be easy to do: no primary legislation is required. Terminals could simply be recategorised in line with other betting machines The bookmakers and those who support them will, of course, argue that we need more evidence. They are protecting their profits while lives are being destroyed. However, the evidence is clear and anybody with a conscience should be willing to see it and not close their eyes to it. The Gambling Act 2005, arguably the source of all this misery, had as one of its overriding purposes the protection of the public from the harm that gambling can do. Ten years later, it is time to take the action needed to meet that purpose. It is time to reduce the stake on the FOBT to £2.
